ID, Ploegnaam, Stamnummer, Roepnaam
3146,Olympic Charleroi,246,Olympic Charleroi
3146,Royal Olympic Club de Montignies-sur-Sambre,246,Olympic Charleroi
498,KSC Lokeren,282,KSC Lokeren
498,KSC Lokeren (- 2020),282,KSC Lokeren
498,KSC Lokeren OV,282,KSC Lokeren
1184,KFC Winterslag,322,KRC Genk
1184,KRC Genk,322,KRC Genk
475,Sint-Truidense VV,373,Sint-Truidense VV
475,St-Truidense VV,373,Sint-Truidense VV
1749,KFC Verbroedering Geel,395,KFC Verbroedering Geel
1749,KFC Verbroedering Geel (- 2008),395,KFC Verbroedering Geel
1749,KFCV Geel,395,KFC Verbroedering Geel
62377,Beringen FC,522,Beringen FC
62377,Beringen FC (- 2002),522,Beringen FC
26514,K. Waterschei SV Thor,553,Waterschei SV Thor
26514,Waterschei SV Thor,553,Waterschei SV Thor
26514,Waterschei SV THOR (- 1988),553,Waterschei SV Thor
26514,Waterschei THOR,553,Waterschei SV Thor
2478,KRC Harelbeke,1615,KRC Harelbeke
3898,FC Brussel,1936,FC Brussels
3898,FC Brussels,1936,FC Brussels
3898,FC Molenbeek Brussel,1936,FC Brussels
3898,FC Molenbeek Brussel Strombeek,1936,FC Brussels
718,KFC Lommel SK (- 2003),1986,KFC Lommelse SK
718,KFC Lommelse SK,1986,KFC Lommelse SK
718,Lommel SK,1986,KFC Lommelse SK
968,KVC Westerlo,2024,KVC Westerlo
1073,KSK Beveren,2300,KSK Beveren
1073,KSK Beveren (- 2010),2300,KSK Beveren
1073,SK Beveren-Waes,2300,KSK Beveren
1417,Heusden-Zolder,2614,Heusden-Zolder
1417,Heusden-Zolder SK,2614,Heusden-Zolder
1417,K. Heusden-Zolder,2614,Heusden-Zolder
3225,K Patro Eisden,3434,Patro Eisden
3225,VV Patro Eisden,3434,Patro Eisden
566,Beerschot AC,3530,Germinal
566,Germ. Beerschot,3530,Germinal
566,Germinal Beerschot Antwerpen,3530,Germinal
566,Germinal Ekeren,3530,Germinal
566,K. Beerschot AC,3530,Germinal
9010,FCV Dender EH,3900,FCV Dender EH
28643,KVRS Waasland - SK Beveren,4068,Waasland-Beveren
28643,SK Beveren,4068,Waasland-Beveren
28643,Waasland-Beveren,4068,Waasland-Beveren
1245,KAS Eupen,4276,KAS Eupen
2456,KSV Waregem,4451,KSV Waregem
2456,KSV Waregem (- 2001),4451,KSV Waregem
3764,Racing Jet,4549,Racing Jet Brussel
3764,Racing Jet Brussel,4549,Racing Jet Brussel
3508,SV Zulte Waregem,5381,SV Zulte Waregem
3508,Zulte Waregem,5381,SV Zulte Waregem
54189,RWD Molenbeek,5479,RWDM
54189,RWDM,5479,RWDM
3772,AFC Tubize,5632,AFC Tubize
