Seizoen,Speeldag,Datum,Tijdstip,Match_ID,Thuisploeg_stamnummer,Thuisploeg_roepnaam,Uitploeg_stamnummer,Uitploeg_roepnaam,Resultaat_Thuisploeg,Resultaat_Uitploeg
1997-1998,26,1998-03-15,15:00,3112206,90,Eendracht Aalst,282,KSC Lokeren,1,5
1997-1998,26,1998-03-15,15:00,3112207,1615,KRC Harelbeke,30,Lierse SK,0,2
1997-1998,26,1998-03-15,20:00,3112208,3,Club Brugge,16,Standard Luik,0,0
1997-1998,27,1998-03-20,20:00,3112209,224,Excelsior Mouscron,3,Club Brugge,0,1
1997-1998,27,1998-03-21,20:00,3112210,16,Standard Luik,2024,KVC Westerlo,2,2
1997-1998,27,1998-03-21,20:00,3112211,30,Lierse SK,2300,KSK Beveren,2,0
1997-1998,27,1998-03-21,20:00,3112212,47,RWD Molenbeek,1,Royal Antwerp FC,2,0
1997-1998,27,1998-03-21,20:00,3112213,7,KAA Gent,35,RSC Anderlecht,1,1
1997-1998,27,1998-03-21,20:00,3112214,3530,Germinal,90,Eendracht Aalst,2,3
1997-1998,27,1998-03-21,20:00,3112215,22,R Charleroi SC,373,Sint-Truidense VV,0,0
1997-1998,27,1998-03-22,15:00,3112216,282,KSC Lokeren,1986,KFC Lommelse SK,2,1
1997-1998,27,1998-03-22,20:00,3112217,322,KRC Genk,1615,KRC Harelbeke,1,0
1997-1998,28,1998-04-03,20:00,3112218,1615,KRC Harelbeke,16,Standard Luik,2,0
1997-1998,28,1998-04-04,20:00,3112222,47,RWD Molenbeek,7,KAA Gent,0,2
1997-1998,28,1998-04-04,20:00,3112223,90,Eendracht Aalst,35,RSC Anderlecht,2,3
1997-1998,28,1998-04-04,20:00,3112219,1986,KFC Lommelse SK,3530,Germinal,1,1
1997-1998,28,1998-04-04,20:00,3112220,1,Royal Antwerp FC,30,Lierse SK,3,2
1997-1998,28,1998-04-04,20:00,3112221,2300,KSK Beveren,322,KRC Genk,0,2
1997-1998,28,1998-04-05,15:00,3112224,2024,KVC Westerlo,224,Excelsior Mouscron,2,1
1997-1998,28,1998-04-05,15:00,3112225,373,Sint-Truidense VV,282,KSC Lokeren,2,2
1997-1998,28,1998-04-05,15:00,3112226,3,Club Brugge,22,R Charleroi SC,3,2
1997-1998,29,1998-04-10,20:00,3112227,35,RSC Anderlecht,1986,KFC Lommelse SK,2,0
1997-1998,29,1998-04-11,20:00,3112228,282,KSC Lokeren,3,Club Brugge,1,1
1997-1998,29,1998-04-11,20:00,3112229,224,Excelsior Mouscron,1615,KRC Harelbeke,1,0
1997-1998,29,1998-04-11,20:00,3112230,16,Standard Luik,2300,KSK Beveren,1,2
1997-1998,29,1998-04-11,20:00,3112231,322,KRC Genk,1,Royal Antwerp FC,1,1
1997-1998,29,1998-04-11,20:00,3112232,30,Lierse SK,47,RWD Molenbeek,1,1
1997-1998,29,1998-04-11,20:00,3112233,7,KAA Gent,90,Eendracht Aalst,0,0
1997-1998,29,1998-04-11,20:00,3112234,3530,Germinal,373,Sint-Truidense VV,1,0
1997-1998,29,1998-04-12,15:00,3112235,22,R Charleroi SC,2024,KVC Westerlo,1,1
1997-1998,30,1998-04-18,20:00,3112236,2300,KSK Beveren,224,Excelsior Mouscron,1,1
1997-1998,30,1998-04-18,20:00,3112237,2024,KVC Westerlo,282,KSC Lokeren,3,3
1997-1998,30,1998-04-18,20:00,3112238,373,Sint-Truidense VV,35,RSC Anderlecht,1,1
1997-1998,30,1998-04-18,20:00,3112239,47,RWD Molenbeek,322,KRC Genk,1,1
1997-1998,30,1998-04-18,20:00,3112240,30,Lierse SK,7,KAA Gent,1,2
1997-1998,30,1998-04-19,15:00,3112241,1,Royal Antwerp FC,16,Standard Luik,3,5
1997-1998,30,1998-04-19,15:00,3112242,1986,KFC Lommelse SK,90,Eendracht Aalst,2,2
1997-1998,30,1998-04-19,15:00,3112243,1615,KRC Harelbeke,22,R Charleroi SC,0,0
1997-1998,30,1998-04-19,17:30,3112244,3,Club Brugge,3530,Germinal,1,3
1997-1998,31,1998-04-25,20:00,3112247,22,R Charleroi SC,2300,KSK Beveren,0,0
1997-1998,31,1998-04-25,20:00,3112248,224,Excelsior Mouscron,1,Royal Antwerp FC,2,0
1997-1998,31,1998-04-25,20:00,3112249,16,Standard Luik,47,RWD Molenbeek,4,0
1997-1998,31,1998-04-25,20:00,3112250,7,KAA Gent,1986,KFC Lommelse SK,2,0
1997-1998,31,1998-04-25,20:00,3112245,3530,Germinal,2024,KVC Westerlo,1,0
1997-1998,31,1998-04-25,20:00,3112246,282,KSC Lokeren,1615,KRC Harelbeke,1,0
1997-1998,31,1998-04-26,15:00,3112251,322,KRC Genk,30,Lierse SK,1,3
1997-1998,31,1998-04-26,15:00,3112252,90,Eendracht Aalst,373,Sint-Truidense VV,3,2
1997-1998,31,1998-04-26,20:00,3112253,35,RSC Anderlecht,3,Club Brugge,0,1
1997-1998,32,1998-04-28,20:00,3112254,1615,KRC Harelbeke,3530,Germinal,3,1
1997-1998,32,1998-04-29,20:00,3112255,30,Lierse SK,16,Standard Luik,3,1
1997-1998,32,1998-04-29,20:00,3112256,47,RWD Molenbeek,224,Excelsior Mouscron,2,1
1997-1998,32,1998-04-29,20:00,3112257,1,Royal Antwerp FC,22,R Charleroi SC,2,4
1997-1998,32,1998-04-29,20:00,3112258,2300,KSK Beveren,282,KSC Lokeren,3,0
1997-1998,32,1998-04-29,20:00,3112259,2024,KVC Westerlo,35,RSC Anderlecht,2,2
1997-1998,32,1998-04-29,20:00,3112260,373,Sint-Truidense VV,1986,KFC Lommelse SK,0,0
1997-1998,32,1998-04-29,20:00,3112261,322,KRC Genk,7,KAA Gent,2,1
1997-1998,32,1998-04-29,20:00,3112262,3,Club Brugge,90,Eendracht Aalst,4,1
1997-1998,33,1998-05-03,15:00,3112263,1986,KFC Lommelse SK,3,Club Brugge,1,1
1997-1998,33,1998-05-03,15:00,3112264,90,Eendracht Aalst,2024,KVC Westerlo,2,3
1997-1998,33,1998-05-03,15:00,3112265,35,RSC Anderlecht,1615,KRC Harelbeke,1,0
1997-1998,33,1998-05-03,15:00,3112266,3530,Germinal,2300,KSK Beveren,1,1
1997-1998,33,1998-05-03,15:00,3112267,282,KSC Lokeren,1,Royal Antwerp FC,5,0
1997-1998,33,1998-05-03,15:00,3112268,22,R Charleroi SC,47,RWD Molenbeek,1,1
1997-1998,33,1998-05-03,15:00,3112269,224,Excelsior Mouscron,30,Lierse SK,2,0
1997-1998,33,1998-05-03,15:00,3112270,16,Standard Luik,322,KRC Genk,3,0
1997-1998,33,1998-05-03,15:00,3112271,373,Sint-Truidense VV,7,KAA Gent,3,3
1997-1998,34,1998-05-10,15:00,3112272,7,KAA Gent,16,Standard Luik,4,1
1997-1998,34,1998-05-10,15:00,3112273,322,KRC Genk,224,Excelsior Mouscron,0,2
1997-1998,34,1998-05-10,15:00,3112274,30,Lierse SK,22,R Charleroi SC,1,1
1997-1998,34,1998-05-10,15:00,3112275,47,RWD Molenbeek,282,KSC Lokeren,5,1
1997-1998,34,1998-05-10,15:00,3112276,1,Royal Antwerp FC,3530,Germinal,3,2
1997-1998,34,1998-05-10,15:00,3112277,2300,KSK Beveren,35,RSC Anderlecht,0,1
1997-1998,34,1998-05-10,15:00,3112278,1615,KRC Harelbeke,90,Eendracht Aalst,2,1
1997-1998,34,1998-05-10,15:00,3112279,2024,KVC Westerlo,1986,KFC Lommelse SK,1,1
1997-1998,34,1998-05-10,15:00,3112280,3,Club Brugge,373,Sint-Truidense VV,6,0
1998-1999,1,1998-08-21,20:00,2980573,31,KV Oostende,16,Standard Luik,2,1
1998-1999,1,1998-08-21,20:00,2980574,373,Sint-Truidense VV,224,Excelsior Mouscron,0,2
1998-1999,1,1998-08-22,20:00,2980575,3530,Germinal,2024,KVC Westerlo,0,3
1998-1999,1,1998-08-22,20:00,2980576,1986,KFC Lommelse SK,2300,KSK Beveren,2,1
1998-1999,1,1998-08-22,20:00,2980577,35,RSC Anderlecht,22,R Charleroi SC,1,1
1998-1999,1,1998-08-22,20:00,2980578,282,KSC Lokeren,322,KRC Genk,2,0
1998-1999,1,1998-08-22,20:00,2980579,30,Lierse SK,7,KAA Gent,1,2
1998-1999,1,1998-08-22,20:00,2980580,90,Eendracht Aalst,3,Club Brugge,0,2
1998-1999,1,1998-08-23,15:00,2980581,1615,KRC Harelbeke,19,KV Kortrijk,1,0
1998-1999,2,1998-08-29,18:00,2980590,3,Club Brugge,3530,Germinal,2,1
1998-1999,2,1998-08-29,20:00,2980591,16,Standard Luik,90,Eendracht Aalst,3,0
1998-1999,2,1998-08-29,20:00,2980592,7,KAA Gent,31,KV Oostende,1,1
1998-1999,2,1998-08-29,20:00,2980593,2300,KSK Beveren,35,RSC Anderlecht,2,1
1998-1999,2,1998-08-29,20:00,2980594,224,Excelsior Mouscron,1986,KFC Lommelse SK,2,0
1998-1999,2,1998-08-29,20:00,2980595,2024,KVC Westerlo,373,Sint-Truidense VV,1,4
1998-1999,2,1998-08-30,15:00,2980596,19,KV Kortrijk,282,KSC Lokeren,0,6
1998-1999,2,1998-08-30,20:00,2980597,322,KRC Genk,30,Lierse SK,3,1
1998-1999,2,1998-08-30,20:00,2980598,22,R Charleroi SC,1615,KRC Harelbeke,2,1
1998-1999,3,1998-09-01,20:00,2980599,35,RSC Anderlecht,224,Excelsior Mouscron,1,1
1998-1999,3,1998-09-02,20:00,2980600,16,Standard Luik,7,KAA Gent,2,0
1998-1999,3,1998-09-02,20:00,2980601,373,Sint-Truidense VV,3,Club Brugge,1,1
1998-1999,3,1998-09-02,20:00,2980602,1986,KFC Lommelse SK,2024,KVC Westerlo,0,1
1998-1999,3,1998-09-02,20:00,2980603,1615,KRC Harelbeke,2300,KSK Beveren,1,1
1998-1999,3,1998-09-02,20:00,2980604,282,KSC Lokeren,22,R Charleroi SC,3,1
1998-1999,3,1998-09-02,20:00,2980605,30,Lierse SK,19,KV Kortrijk,5,1
1998-1999,3,1998-09-02,20:00,2980606,90,Eendracht Aalst,3530,Germinal,5,0
1998-1999,3,1998-09-23,20:00,2980607,31,KV Oostende,322,KRC Genk,1,1
1998-1999,4,1998-09-05,20:00,2980608,3530,Germinal,373,Sint-Truidense VV,1,0
1998-1999,4,1998-09-05,20:00,2980609,7,KAA Gent,90,Eendracht Aalst,2,2
1998-1999,4,1998-09-05,20:00,2980610,2300,KSK Beveren,282,KSC Lokeren,1,2
1998-1999,4,1998-09-05,20:00,2980611,224,Excelsior Mouscron,1615,KRC Harelbeke,2,2
1998-1999,4,1998-09-05,20:00,2980612,2024,KVC Westerlo,35,RSC Anderlecht,6,0
1998-1999,4,1998-09-06,15:00,2980613,19,KV Kortrijk,31,KV Oostende,2,0
1998-1999,4,1998-09-06,20:00,2980614,322,KRC Genk,16,Standard Luik,2,1
1998-1999,4,1998-09-23,20:00,2980615,22,R Charleroi SC,30,Lierse SK,5,0
1998-1999,4,1998-09-23,20:00,2980616,3,Club Brugge,1986,KFC Lommelse SK,0,1
1998-1999,5,1998-09-09,20:00,2980619,7,KAA Gent,322,KRC Genk,0,1
1998-1999,5,1998-09-09,20:00,2980620,1986,KFC Lommelse SK,3530,Germinal,1,2
1998-1999,5,1998-09-09,20:00,2980621,35,RSC Anderlecht,3,Club Brugge,2,3
1998-1999,5,1998-09-09,20:00,2980622,1615,KRC Harelbeke,2024,KVC Westerlo,1,2
1998-1999,5,1998-09-09,20:00,2980623,282,KSC Lokeren,224,Excelsior Mouscron,0,0
1998-1999,5,1998-09-09,20:00,2980624,30,Lierse SK,2300,KSK Beveren,3,0
1998-1999,5,1998-09-09,20:00,2980625,90,Eendracht Aalst,373,Sint-Truidense VV,1,3
1998-1999,5,1998-09-09,20:00,2980617,31,KV Oostende,22,R Charleroi SC,0,0
1998-1999,5,1998-09-09,20:00,2980618,16,Standard Luik,19,KV Kortrijk,2,1
1998-1999,6,1998-09-12,18:00,2980626,3530,Germinal,35,RSC Anderlecht,0,3
1998-1999,6,1998-09-12,20:00,2980627,373,Sint-Truidense VV,1986,KFC Lommelse SK,2,1
1998-1999,6,1998-09-12,20:00,2980628,322,KRC Genk,90,Eendracht Aalst,2,0
1998-1999,6,1998-09-12,20:00,2980629,22,R Charleroi SC,16,Standard Luik,1,0
1998-1999,6,1998-09-12,20:00,2980630,2300,KSK Beveren,31,KV Oostende,5,0
1998-1999,6,1998-09-12,20:00,2980631,224,Excelsior Mouscron,30,Lierse SK,0,0
1998-1999,6,1998-09-12,20:00,2980632,2024,KVC Westerlo,282,KSC Lokeren,4,3
1998-1999,6,1998-09-12,20:00,2980633,3,Club Brugge,1615,KRC Harelbeke,1,0
1998-1999,6,1998-09-13,20:00,2980634,19,KV Kortrijk,7,KAA Gent,3,4
1998-1999,7,1998-09-18,20:00,2980635,282,KSC Lokeren,3,Club Brugge,2,0
1998-1999,7,1998-09-18,20:00,2980636,1615,KRC Harelbeke,3530,Germinal,0,4
1998-1999,7,1998-09-19,20:00,2980637,31,KV Oostende,224,Excelsior Mouscron,2,4
1998-1999,7,1998-09-19,20:00,2980638,16,Standard Luik,2300,KSK Beveren,1,2
1998-1999,7,1998-09-19,20:00,2980639,7,KAA Gent,22,R Charleroi SC,1,1
1998-1999,7,1998-09-19,20:00,2980640,35,RSC Anderlecht,373,Sint-Truidense VV,1,1
1998-1999,7,1998-09-19,20:00,2980641,30,Lierse SK,2024,KVC Westerlo,5,1
1998-1999,7,1998-09-20,15:00,2980642,90,Eendracht Aalst,1986,KFC Lommelse SK,3,1
1998-1999,7,1998-09-20,20:00,2980643,322,KRC Genk,19,KV Kortrijk,3,1
1998-1999,8,1998-09-25,20:00,2980673,224,Excelsior Mouscron,16,Standard Luik,1,5
1998-1999,8,1998-09-26,20:00,2980674,3530,Germinal,282,KSC Lokeren,1,1
1998-1999,8,1998-09-26,20:00,2980675,373,Sint-Truidense VV,1615,KRC Harelbeke,1,0
1998-1999,8,1998-09-26,20:00,2980676,1986,KFC Lommelse SK,35,RSC Anderlecht,2,2
1998-1999,8,1998-09-26,20:00,2980677,22,R Charleroi SC,322,KRC Genk,1,1
1998-1999,8,1998-09-26,20:00,2980678,2300,KSK Beveren,7,KAA Gent,0,3
1998-1999,8,1998-09-26,20:00,2980679,2024,KVC Westerlo,31,KV Oostende,7,0
1998-1999,8,1998-09-26,20:00,2980680,3,Club Brugge,30,Lierse SK,3,1
1998-1999,8,1998-09-27,15:00,2980681,19,KV Kortrijk,90,Eendracht Aalst,3,4
1998-1999,9,1998-10-02,20:00,2980682,7,KAA Gent,224,Excelsior Mouscron,3,0
1998-1999,9,1998-10-03,20:00,2980683,31,KV Oostende,3,Club Brugge,1,4
1998-1999,9,1998-10-03,20:00,2980684,16,Standard Luik,2024,KVC Westerlo,2,0
1998-1999,9,1998-10-03,20:00,2980685,282,KSC Lokeren,373,Sint-Truidense VV,2,1
1998-1999,9,1998-10-03,20:00,2980686,30,Lierse SK,3530,Germinal,1,0
1998-1999,9,1998-10-04,15:00,2980688,1615,KRC Harelbeke,1986,KFC Lommelse SK,1,1
1998-1999,9,1998-10-04,15:00,2980689,90,Eendracht Aalst,35,RSC Anderlecht,0,0
1998-1999,9,1998-10-04,15:00,2980687,19,KV Kortrijk,22,R Charleroi SC,2,2
1998-1999,9,1998-10-04,20:00,2980690,322,KRC Genk,2300,KSK Beveren,1,0
1998-1999,10,1998-10-10,18:00,2980691,3,Club Brugge,16,Standard Luik,1,1
1998-1999,10,1998-10-10,20:00,2980692,3530,Germinal,31,KV Oostende,2,2
1998-1999,10,1998-10-10,20:00,2980693,373,Sint-Truidense VV,30,Lierse SK,3,0
1998-1999,10,1998-10-10,20:00,2980694,1986,KFC Lommelse SK,282,KSC Lokeren,1,2
1998-1999,10,1998-10-10,20:00,2980695,35,RSC Anderlecht,1615,KRC Harelbeke,3,1
1998-1999,10,1998-10-10,20:00,2980696,22,R Charleroi SC,90,Eendracht Aalst,0,1
1998-1999,10,1998-10-10,20:00,2980697,2300,KSK Beveren,19,KV Kortrijk,2,2
1998-1999,10,1998-10-10,20:00,2980698,2024,KVC Westerlo,7,KAA Gent,3,3
1998-1999,10,1998-10-11,15:00,2980699,224,Excelsior Mouscron,322,KRC Genk,3,5
1998-1999,11,1998-10-23,20:00,2980700,282,KSC Lokeren,35,RSC Anderlecht,2,3
1998-1999,11,1998-10-24,20:00,2980701,31,KV Oostende,373,Sint-Truidense VV,0,1
1998-1999,11,1998-10-24,20:00,2980702,16,Standard Luik,3530,Germinal,1,0
1998-1999,11,1998-10-24,20:00,2980703,7,KAA Gent,3,Club Brugge,0,4
1998-1999,11,1998-10-24,20:00,2980704,22,R Charleroi SC,2300,KSK Beveren,1,2
1998-1999,11,1998-10-24,20:00,2980705,30,Lierse SK,1986,KFC Lommelse SK,2,1
1998-1999,11,1998-10-25,15:00,2980706,19,KV Kortrijk,224,Excelsior Mouscron,2,2
1998-1999,11,1998-10-25,15:00,2980707,90,Eendracht Aalst,1615,KRC Harelbeke,2,2
1998-1999,11,1998-10-25,20:00,2980708,322,KRC Genk,2024,KVC Westerlo,3,0
1998-1999,12,1998-10-30,20:00,2980709,224,Excelsior Mouscron,22,R Charleroi SC,3,2
1998-1999,12,1998-10-30,20:00,2980710,3,Club Brugge,322,KRC Genk,2,0
1998-1999,12,1998-10-31,20:00,2980715,2300,KSK Beveren,90,Eendracht Aalst,0,2
1998-1999,12,1998-10-31,20:00,2980716,2024,KVC Westerlo,19,KV Kortrijk,2,0
1998-1999,12,1998-10-31,20:00,2980717,1615,KRC Harelbeke,282,KSC Lokeren,3,2
1998-1999,12,1998-10-31,20:00,2980711,3530,Germinal,7,KAA Gent,8,1
1998-1999,12,1998-10-31,20:00,2980712,373,Sint-Truidense VV,16,Standard Luik,0,1
1998-1999,12,1998-10-31,20:00,2980713,1986,KFC Lommelse SK,31,KV Oostende,3,0
1998-1999,12,1998-10-31,20:00,2980714,35,RSC Anderlecht,30,Lierse SK,2,0
1998-1999,13,1998-11-07,20:00,2980718,31,KV Oostende,35,RSC Anderlecht,0,2
1998-1999,13,1998-11-07,20:00,2980719,16,Standard Luik,1986,KFC Lommelse SK,1,0
1998-1999,13,1998-11-07,20:00,2980720,7,KAA Gent,373,Sint-Truidense VV,1,1
1998-1999,13,1998-11-07,20:00,2980721,22,R Charleroi SC,2024,KVC Westerlo,1,3
1998-1999,13,1998-11-07,20:00,2980722,2300,KSK Beveren,224,Excelsior Mouscron,1,4
1998-1999,13,1998-11-07,20:00,2980723,30,Lierse SK,1615,KRC Harelbeke,3,1
1998-1999,13,1998-11-08,15:00,2980724,19,KV Kortrijk,3,Club Brugge,2,4
1998-1999,13,1998-11-08,15:00,2980725,90,Eendracht Aalst,282,KSC Lokeren,3,3
1998-1999,13,1998-11-08,20:00,2980726,322,KRC Genk,3530,Germinal,3,2
1998-1999,14,1998-11-14,20:00,2980731,2024,KVC Westerlo,2300,KSK Beveren,0,0
1998-1999,14,1998-11-14,20:00,2980727,373,Sint-Truidense VV,322,KRC Genk,2,2
1998-1999,14,1998-11-14,20:00,2980728,1986,KFC Lommelse SK,7,KAA Gent,0,1
1998-1999,14,1998-11-14,20:00,2980729,282,KSC Lokeren,30,Lierse SK,2,0
1998-1999,14,1998-11-14,20:00,2980730,224,Excelsior Mouscron,90,Eendracht Aalst,3,1
1998-1999,14,1998-11-15,15:00,2980732,3530,Germinal,19,KV Kortrijk,2,1
1998-1999,14,1998-11-15,15:00,2980733,3,Club Brugge,22,R Charleroi SC,3,2
1998-1999,14,1998-11-15,15:00,2980734,1615,KRC Harelbeke,31,KV Oostende,2,1
1998-1999,14,1998-11-15,20:00,2980735,35,RSC Anderlecht,16,Standard Luik,0,1
1998-1999,15,1998-11-21,20:00,2980736,31,KV Oostende,282,KSC Lokeren,0,0
1998-1999,15,1998-11-21,20:00,2980737,16,Standard Luik,1615,KRC Harelbeke,0,2
1998-1999,15,1998-11-21,20:00,2980738,7,KAA Gent,35,RSC Anderlecht,3,2
1998-1999,15,1998-11-21,20:00,2980739,322,KRC Genk,1986,KFC Lommelse SK,6,0
1998-1999,15,1998-11-21,20:00,2980740,22,R Charleroi SC,3530,Germinal,2,2
1998-1999,15,1998-11-21,20:00,2980741,2300,KSK Beveren,3,Club Brugge,1,2
1998-1999,15,1998-11-21,20:00,2980742,224,Excelsior Mouscron,2024,KVC Westerlo,2,1
1998-1999,15,1998-11-22,15:00,2980743,19,KV Kortrijk,373,Sint-Truidense VV,2,2
1998-1999,15,1998-11-22,15:00,2980744,90,Eendracht Aalst,30,Lierse SK,1,4
1998-1999,16,1998-11-27,20:00,2980745,282,KSC Lokeren,16,Standard Luik,4,1
1998-1999,16,1998-11-28,20:00,2980746,373,Sint-Truidense VV,22,R Charleroi SC,1,0
1998-1999,16,1998-11-28,20:00,2980747,1986,KFC Lommelse SK,19,KV Kortrijk,3,1
1998-1999,16,1998-11-28,20:00,2980748,35,RSC Anderlecht,322,KRC Genk,3,2
1998-1999,16,1998-11-28,20:00,2980749,30,Lierse SK,31,KV Oostende,4,2
1998-1999,16,1998-11-29,15:00,2980750,3530,Germinal,2300,KSK Beveren,1,0
1998-1999,16,1998-11-29,15:00,2980751,3,Club Brugge,224,Excelsior Mouscron,0,0
1998-1999,16,1998-11-29,15:00,2980752,1615,KRC Harelbeke,7,KAA Gent,2,2
1998-1999,16,1998-11-29,15:00,2980753,90,Eendracht Aalst,2024,KVC Westerlo,3,2
1998-1999,17,1998-12-04,20:00,2980754,2024,KVC Westerlo,3,Club Brugge,1,2
1998-1999,17,1998-12-05,20:00,2980755,31,KV Oostende,90,Eendracht Aalst,4,1
1998-1999,17,1998-12-05,20:00,2980756,7,KAA Gent,282,KSC Lokeren,2,1
1998-1999,17,1998-12-05,20:00,2980757,22,R Charleroi SC,1986,KFC Lommelse SK,1,1
1998-1999,17,1998-12-05,20:00,2980758,224,Excelsior Mouscron,3530,Germinal,2,2
1998-1999,17,1998-12-06,15:00,2980759,322,KRC Genk,1615,KRC Harelbeke,2,2
1998-1999,17,1998-12-06,15:00,2980760,19,KV Kortrijk,35,RSC Anderlecht,0,4
1998-1999,17,1999-01-13,20:00,2980761,16,Standard Luik,30,Lierse SK,2,2
1998-1999,17,1999-02-06,20:00,2980762,2300,KSK Beveren,373,Sint-Truidense VV,0,1
1998-1999,18,1998-12-12,20:00,2980763,16,Standard Luik,31,KV Oostende,3,0
1998-1999,18,1998-12-12,20:00,2980764,2024,KVC Westerlo,3530,Germinal,2,4
1998-1999,18,1998-12-12,20:00,2980765,224,Excelsior Mouscron,373,Sint-Truidense VV,5,1
1998-1999,18,1998-12-12,20:00,2980766,2300,KSK Beveren,1986,KFC Lommelse SK,0,0
1998-1999,18,1998-12-12,20:00,2980767,7,KAA Gent,30,Lierse SK,1,0
1998-1999,18,1998-12-13,15:00,2980768,19,KV Kortrijk,1615,KRC Harelbeke,0,0
1998-1999,18,1998-12-13,15:00,2980769,3,Club Brugge,90,Eendracht Aalst,0,0
1998-1999,18,1998-12-13,20:00,2980770,322,KRC Genk,282,KSC Lokeren,3,1
1998-1999,18,1999-04-09,20:00,2980771,22,R Charleroi SC,35,RSC Anderlecht,0,2
1998-1999,19,1998-12-18,20:00,2980782,30,Lierse SK,322,KRC Genk,1,1
1998-1999,19,1998-12-19,20:00,2980783,31,KV Oostende,7,KAA Gent,2,2
1998-1999,19,1998-12-19,20:00,2980784,282,KSC Lokeren,19,KV Kortrijk,2,1
1998-1999,19,1998-12-19,20:00,2980785,35,RSC Anderlecht,2300,KSK Beveren,3,1
1998-1999,19,1998-12-19,20:00,2980786,1986,KFC Lommelse SK,224,Excelsior Mouscron,2,3
1998-1999,19,1998-12-19,20:00,2980787,373,Sint-Truidense VV,2024,KVC Westerlo,0,0
1998-1999,19,1998-12-20,15:00,2980788,3530,Germinal,3,Club Brugge,2,0
1998-1999,19,1998-12-20,15:00,2980789,90,Eendracht Aalst,16,Standard Luik,1,0
1998-1999,19,1998-12-20,15:00,2980790,1615,KRC Harelbeke,22,R Charleroi SC,1,1
1998-1999,20,1999-01-15,20:00,2980791,224,Excelsior Mouscron,35,RSC Anderlecht,2,3
1998-1999,20,1999-01-16,20:00,2980792,7,KAA Gent,16,Standard Luik,3,2
1998-1999,20,1999-01-16,20:00,2980793,2024,KVC Westerlo,1986,KFC Lommelse SK,2,1
1998-1999,20,1999-01-16,20:00,2980794,2300,KSK Beveren,1615,KRC Harelbeke,0,3
1998-1999,20,1999-01-16,20:00,2980795,22,R Charleroi SC,282,KSC Lokeren,2,1
1998-1999,20,1999-01-17,15:00,2980796,3,Club Brugge,373,Sint-Truidense VV,3,2
1998-1999,20,1999-01-17,15:00,2980797,19,KV Kortrijk,30,Lierse SK,3,2
1998-1999,20,1999-01-17,15:00,2980798,3530,Germinal,90,Eendracht Aalst,1,0
1998-1999,20,1999-01-18,20:00,2980799,322,KRC Genk,31,KV Oostende,3,0
1998-1999,21,1999-01-23,20:00,2980800,1986,KFC Lommelse SK,3,Club Brugge,2,1
1998-1999,21,1999-01-23,20:00,2980801,373,Sint-Truidense VV,3530,Germinal,2,0
1998-1999,21,1999-01-23,20:00,2980802,31,KV Oostende,19,KV Kortrijk,1,3
1998-1999,21,1999-01-23,20:00,2980803,30,Lierse SK,22,R Charleroi SC,4,0
1998-1999,21,1999-01-23,20:00,2980804,35,RSC Anderlecht,2024,KVC Westerlo,3,2
1998-1999,21,1999-01-23,20:00,2980805,282,KSC Lokeren,2300,KSK Beveren,4,3
1998-1999,21,1999-01-24,15:00,2980806,90,Eendracht Aalst,7,KAA Gent,0,2
1998-1999,21,1999-01-24,15:00,2980807,1615,KRC Harelbeke,224,Excelsior Mouscron,0,4
1998-1999,21,1999-01-27,20:00,2980808,16,Standard Luik,322,KRC Genk,2,4
1998-1999,22,1999-01-29,20:00,2980809,3,Club Brugge,35,RSC Anderlecht,2,0
1998-1999,22,1999-01-30,20:00,2980810,22,R Charleroi SC,31,KV Oostende,1,1
1998-1999,22,1999-01-30,20:00,2980811,322,KRC Genk,7,KAA Gent,1,0
1998-1999,22,1999-01-30,20:00,2980812,2024,KVC Westerlo,1615,KRC Harelbeke,0,3
1998-1999,22,1999-01-30,20:00,2980813,224,Excelsior Mouscron,282,KSC Lokeren,5,1
1998-1999,22,1999-01-30,20:00,2980814,2300,KSK Beveren,30,Lierse SK,1,3
1998-1999,22,1999-01-30,20:00,2980815,373,Sint-Truidense VV,90,Eendracht Aalst,2,0
1998-1999,22,1999-01-31,15:00,2980816,19,KV Kortrijk,16,Standard Luik,1,3
1998-1999,22,1999-01-31,15:00,2980817,3530,Germinal,1986,KFC Lommelse SK,1,0
1998-1999,23,1999-02-12,20:00,2980854,30,Lierse SK,224,Excelsior Mouscron,1,2
1998-1999,23,1999-02-13,20:00,2980855,1986,KFC Lommelse SK,373,Sint-Truidense VV,0,1
1998-1999,23,1999-02-13,20:00,2980856,7,KAA Gent,19,KV Kortrijk,3,1
1998-1999,23,1999-02-13,20:00,2980857,16,Standard Luik,22,R Charleroi SC,2,0
1998-1999,23,1999-02-13,20:00,2980858,90,Eendracht Aalst,322,KRC Genk,1,2
1998-1999,23,1999-02-14,15:00,2980859,31,KV Oostende,2300,KSK Beveren,1,1
1998-1999,23,1999-02-14,15:00,2980860,1615,KRC Harelbeke,3,Club Brugge,0,2
1998-1999,23,1999-02-20,20:00,2980861,35,RSC Anderlecht,3530,Germinal,2,0
1998-1999,23,1999-03-10,20:00,2980862,282,KSC Lokeren,2024,KVC Westerlo,3,0
1998-1999,24,1999-02-26,20:00,2980863,3,Club Brugge,282,KSC Lokeren,4,0
1998-1999,24,1999-02-27,20:00,2980864,224,Excelsior Mouscron,31,KV Oostende,2,1
