tf_match_id,seizoen,seizoen_alternatief,datum,datum_key,tijdstip,tf_clubid_thuis,tf_clubnaam_thuis,stamnummer_thuis,roepnaam_thuis,tf_clubid_uit,tf_clubnaam_uit,stamnummer_uit,roepnaam_uit,stand_thuis,stand_uit,type
1019669,2009,09/10,2010-05-05,20100505,20:30,2282,Club Brugge,3,Club Brugge,3508,Zulte Waregem,5381,SV Zulte Waregem,3,0,Playoff_1
1019670,2009,09/10,2010-05-05,20100505,20:30,601,KV Kortrijk,19,KV Kortrijk,58,RSC Anderlecht,35,RSC Anderlecht,1,3,Playoff_1
1020667,2009,09/10,2010-05-08,20100508,20:00,58,RSC Anderlecht,35,RSC Anderlecht,475,St-Truidense VV,373,Sint-Truidense VV,2,1,Playoff_1
1020668,2009,09/10,2010-05-08,20100508,20:00,3508,Zulte Waregem,5381,SV Zulte Waregem,601,KV Kortrijk,19,KV Kortrijk,1,2,Playoff_1
1020666,2009,09/10,2010-05-08,20100508,20:00,157,KAA Gent,7,KAA Gent,2282,Club Brugge,3,Club Brugge,6,2,Playoff_1
1091788,2010,10/11,2011-04-02,20110402,18:00,157,KAA Gent,7,KAA Gent,2282,Club Brugge,3,Club Brugge,1,1,Playoff_1
1091791,2010,10/11,2011-04-02,20110402,20:00,354,KV Mechelen,25,KV Mechelen,475,St-Truidense VV,373,Sint-Truidense VV,1,1,Playoff_2
1091793,2010,10/11,2011-04-02,20110402,20:00,968,KVC Westerlo,2024,KVC Westerlo,601,KV Kortrijk,19,KV Kortrijk,3,0,Playoff_2
1091794,2010,10/11,2011-04-02,20110402,20:00,566,Germ. Beerschot,3530,Germinal,3508,Zulte Waregem,5381,SV Zulte Waregem,2,0,Playoff_2
1091792,2010,10/11,2011-04-02,20110402,20:00,520,Cercle Brugge,12,Cercle Brugge,204,Lierse SK,30,Lierse SK,0,0,Playoff_2
1091790,2010,10/11,2011-04-03,20110403,20:00,1184,KRC Genk,322,KRC Genk,498,KSC Lokeren,282,KSC Lokeren,2,1,Playoff_1
