Seizoen,Speeldag,Stand,Stamnummer,Roepnaam,AantalGespeeld,AantalGewonnen,AantalGelijk,AantalVerloren,DoelpuntenVoor,DoelpuntenTegen,Doelpuntensaldo,Links_Tweepuntensysteem,Rechts_Tweepuntensysteem,Driepuntensysteem
1960,7,14,373,Sint-Truidense VV,7,2,1,4,5,13,-8,221,441,2221
1960,7,15,3434,Patro Eisden,7,1,2,4,6,13,-7,112,442,1112
1960,7,16,33,Verviétois,7,1,1,5,6,18,-12,111,551,1111
1960,8,1,16,Standard Luik,8,6,2,0,17,4,13,662,002,6662
1960,8,2,90,Eendracht Aalst,8,5,1,2,17,12,5,551,221,5551
1960,8,3,4,RFC Luik,8,4,3,1,10,7,3,443,113,4443
1960,8,4,10,Union Saint-Gilloise,8,5,0,3,15,8,7,550,330,5550
1960,8,5,2,Daring Club Brussel,8,4,2,2,15,13,2,442,222,4442
1960,8,6,35,RSC Anderlecht,8,3,3,2,21,10,11,333,223,3333
1960,8,7,553,Waterschei SV Thor,8,3,2,3,15,10,5,332,332,3332
1960,8,8,246,Olympic Charleroi,8,3,2,3,8,12,-4,332,332,3332
1960,8,9,30,Lierse SK,8,4,0,4,9,16,-7,440,440,4440
1960,8,10,3,Club Brugge,8,1,5,2,8,10,-2,115,225,1115
1960,8,11,13,Beerschot,8,3,1,4,10,13,-3,331,441,3331
1960,8,12,7,KAA Gent,8,2,2,4,12,11,1,222,442,2222
1960,8,13,1,Royal Antwerp FC,8,2,2,4,13,14,-1,222,442,2222
1960,8,14,373,Sint-Truidense VV,8,2,1,5,5,15,-10,221,551,2221
1960,8,15,3434,Patro Eisden,8,1,2,5,6,14,-8,112,552,1112
1960,8,16,33,Verviétois,8,1,2,5,8,20,-12,112,552,1112
1960,9,1,16,Standard Luik,9,7,2,0,19,5,14,772,002,7772
1960,9,2,90,Eendracht Aalst,9,6,1,2,20,13,7,661,221,6661
1960,9,3,4,RFC Luik,9,5,3,1,11,7,4,553,113,5553
1960,9,4,35,RSC Anderlecht,9,4,3,2,23,10,13,443,223,4443
1960,9,5,10,Union Saint-Gilloise,9,5,0,4,15,10,5,550,440,5550
1960,9,6,2,Daring Club Brussel,9,4,2,3,17,17,0,442,332,4442
1960,9,7,3,Club Brugge,9,2,5,2,12,12,0,225,225,2225
1960,9,8,13,Beerschot,9,4,1,4,11,13,-2,441,441,4441
1960,9,9,246,Olympic Charleroi,9,3,3,3,9,13,-4,333,333,3333
1960,9,10,553,Waterschei SV Thor,9,3,2,4,16,13,3,332,442,3332
1960,9,11,7,KAA Gent,9,3,2,4,15,12,3,332,442,3332
1960,9,12,30,Lierse SK,9,4,0,5,10,18,-8,440,550,4440
1960,9,13,1,Royal Antwerp FC,9,2,2,5,14,17,-3,222,552,2222
1960,9,14,373,Sint-Truidense VV,9,2,2,5,6,16,-10,222,552,2222
1960,9,15,3434,Patro Eisden,9,1,2,6,6,15,-9,112,662,1112
1960,9,16,33,Verviétois,9,1,2,6,8,21,-13,112,662,1112
1960,10,1,16,Standard Luik,10,7,2,1,20,7,13,772,112,7772
1960,10,2,4,RFC Luik,10,6,3,1,14,8,6,663,113,6663
1960,10,3,35,RSC Anderlecht,10,5,3,2,26,12,14,553,223,5553
1960,10,4,90,Eendracht Aalst,10,6,1,3,22,22,0,661,331,6661
1960,10,5,2,Daring Club Brussel,10,5,2,3,19,17,2,552,332,5552
1960,10,6,13,Beerschot,10,5,1,4,20,15,5,551,441,5551
1960,10,7,246,Olympic Charleroi,10,4,3,3,12,13,-1,443,333,4443
1960,10,8,553,Waterschei SV Thor,10,4,2,4,18,14,4,442,442,4442
1960,10,9,7,KAA Gent,10,4,2,4,17,13,4,442,442,4442
1960,10,9,10,Union Saint-Gilloise,10,5,0,5,17,13,4,550,550,5550
1960,10,11,30,Lierse SK,10,5,0,5,13,20,-7,550,550,5550
1960,10,12,3,Club Brugge,10,2,5,3,12,15,-3,225,335,2225
1960,10,13,1,Royal Antwerp FC,10,2,2,6,16,20,-4,222,662,2222
1960,10,14,373,Sint-Truidense VV,10,2,2,6,7,18,-11,222,662,2222
1960,10,15,3434,Patro Eisden,10,1,2,7,7,18,-11,112,772,1112
1960,10,16,33,Verviétois,10,1,2,7,8,23,-15,112,772,1112
1960,11,1,16,Standard Luik,11,7,3,1,20,7,13,773,113,7773
1960,11,2,4,RFC Luik,11,7,3,1,17,10,7,773,113,7773
1960,11,3,35,RSC Anderlecht,11,6,3,2,27,12,15,663,223,6663
1960,11,4,90,Eendracht Aalst,11,7,1,3,24,22,2,771,331,7771
1960,11,5,553,Waterschei SV Thor,11,5,2,4,23,14,9,552,442,5552
1960,11,6,2,Daring Club Brussel,11,5,2,4,19,18,1,552,442,5552
1960,11,7,13,Beerschot,11,5,1,5,22,18,4,551,551,5551
1960,11,8,7,KAA Gent,11,4,3,4,19,15,4,443,443,4443
1960,11,9,10,Union Saint-Gilloise,11,5,1,5,17,13,4,551,551,5551
1960,11,10,3,Club Brugge,11,3,5,3,14,15,-1,335,335,3335
1960,11,11,246,Olympic Charleroi,11,4,3,4,12,18,-6,443,443,4443
1960,11,12,30,Lierse SK,11,5,0,6,14,22,-8,550,660,5550
1960,11,13,1,Royal Antwerp FC,11,3,2,6,18,21,-3,332,662,3332
1960,11,14,373,Sint-Truidense VV,11,2,2,7,7,20,-13,222,772,2222
1960,11,15,33,Verviétois,11,1,3,7,10,25,-15,113,773,1113
1960,11,16,3434,Patro Eisden,11,1,2,8,7,20,-13,112,882,1112
1960,12,1,4,RFC Luik,12,7,4,1,19,12,7,774,114,7774
1960,12,2,35,RSC Anderlecht,12,7,3,2,28,12,16,773,223,7773
1960,12,3,16,Standard Luik,12,7,3,2,21,9,12,773,223,7773
1960,12,4,90,Eendracht Aalst,12,7,2,3,26,24,2,772,332,7772
1960,12,5,553,Waterschei SV Thor,12,6,2,4,25,15,10,662,442,6662
1960,12,6,13,Beerschot,12,6,1,5,25,19,6,661,551,6661
1960,12,7,7,KAA Gent,12,5,3,4,20,15,5,553,443,5553
1960,12,8,2,Daring Club Brussel,12,5,2,5,19,19,0,552,552,5552
1960,12,9,10,Union Saint-Gilloise,12,5,1,6,18,16,2,551,661,5551
1960,12,10,3,Club Brugge,12,3,5,4,14,16,-2,335,445,3335
1960,12,11,246,Olympic Charleroi,12,4,3,5,12,19,-7,443,553,4443
1960,12,12,1,Royal Antwerp FC,12,4,2,6,19,21,-2,442,662,4442
1960,12,13,30,Lierse SK,12,5,0,7,14,24,-10,550,770,5550
1960,12,14,373,Sint-Truidense VV,12,3,2,7,8,20,-12,332,772,3332
1960,12,15,33,Verviétois,12,2,3,7,12,25,-13,223,773,2223
1960,12,16,3434,Patro Eisden,12,1,2,9,7,21,-14,112,992,1112
1960,13,1,4,RFC Luik,13,7,5,1,20,13,7,775,115,7775
1960,13,2,35,RSC Anderlecht,13,7,4,2,28,12,16,774,224,7774
1960,13,3,16,Standard Luik,13,7,3,3,22,12,10,773,333,7773
1960,13,4,553,Waterschei SV Thor,13,7,2,4,29,15,14,772,442,7772
1960,13,5,90,Eendracht Aalst,13,7,2,4,27,27,0,772,442,7772
1960,13,6,13,Beerschot,13,6,2,5,26,20,6,662,552,6662
1960,13,7,7,KAA Gent,13,5,4,4,21,16,5,554,444,5554
1960,13,8,2,Daring Club Brussel,13,6,2,5,22,20,2,662,552,6662
1960,13,9,3,Club Brugge,13,3,6,4,14,16,-2,336,446,3336
1960,13,10,246,Olympic Charleroi,13,4,4,5,12,19,-7,444,554,4444
1960,13,11,30,Lierse SK,13,6,0,7,17,25,-8,660,770,6660
1960,13,12,1,Royal Antwerp FC,13,4,3,6,20,22,-2,443,663,4443
1960,13,13,10,Union Saint-Gilloise,13,5,1,7,18,20,-2,551,771,5551
1960,13,14,373,Sint-Truidense VV,13,3,3,7,9,21,-12,333,773,3333
1960,13,15,33,Verviétois,13,2,4,7,12,25,-13,224,774,2224
1960,13,16,3434,Patro Eisden,13,1,3,9,8,22,-14,113,993,1113
1960,14,1,4,RFC Luik,14,7,6,1,21,14,7,776,116,7776
1960,14,2,35,RSC Anderlecht,14,7,4,3,28,13,15,774,334,7774
1960,14,3,16,Standard Luik,14,7,4,3,24,14,10,774,334,7774
1960,14,4,90,Eendracht Aalst,14,7,3,4,28,28,0,773,443,7773
1960,14,5,553,Waterschei SV Thor,14,7,2,5,29,18,11,772,552,7772
1960,14,6,13,Beerschot,14,7,2,5,27,20,7,772,552,7772
1960,14,7,2,Daring Club Brussel,14,7,2,5,25,20,5,772,552,7772
1960,14,8,7,KAA Gent,14,5,4,5,22,19,3,554,554,5554
1960,14,9,10,Union Saint-Gilloise,14,6,1,7,21,21,0,661,771,6661
1960,14,10,3,Club Brugge,14,3,7,4,16,18,-2,337,447,3337
1960,14,11,246,Olympic Charleroi,14,4,5,5,13,20,-7,445,555,4445
1960,14,12,30,Lierse SK,14,6,1,7,18,26,-8,661,771,6661
1960,14,13,1,Royal Antwerp FC,14,4,3,7,20,23,-3,443,773,4443
1960,14,14,373,Sint-Truidense VV,14,4,3,7,10,21,-11,443,773,4443
1960,14,15,33,Verviétois,14,2,4,8,14,28,-14,224,884,2224
1960,14,16,3434,Patro Eisden,14,2,3,9,11,24,-13,223,993,2223
1960,15,1,4,RFC Luik,15,7,7,1,22,15,7,777,117,7777
1960,15,2,16,Standard Luik,15,8,4,3,28,15,13,884,334,8884
1960,15,3,35,RSC Anderlecht,15,7,4,4,28,18,10,774,444,7774
1960,15,4,13,Beerschot,15,8,2,5,30,22,8,882,552,8882
1960,15,5,2,Daring Club Brussel,15,8,2,5,27,21,6,882,552,8882
1960,15,6,90,Eendracht Aalst,15,7,3,5,29,30,-1,773,553,7773
1960,15,7,553,Waterschei SV Thor,15,7,2,6,31,21,10,772,662,7772
1960,15,8,7,KAA Gent,15,6,4,5,27,19,8,664,554,6664
1960,15,9,10,Union Saint-Gilloise,15,7,1,7,25,21,4,771,771,7771
1960,15,10,3,Club Brugge,15,4,7,4,20,19,1,447,447,4447
1960,15,11,246,Olympic Charleroi,15,4,6,5,14,21,-7,446,556,4446
1960,15,12,373,Sint-Truidense VV,15,5,3,7,13,22,-9,553,773,5553
1960,15,13,30,Lierse SK,15,6,1,8,19,30,-11,661,881,6661
1960,15,14,1,Royal Antwerp FC,15,4,3,8,21,27,-6,443,883,4443
1960,15,15,33,Verviétois,15,2,4,9,15,31,-16,224,994,2224
1960,15,16,3434,Patro Eisden,15,2,3,10,11,28,-17,223,10103,2223
1960,16,1,16,Standard Luik,16,9,4,3,29,15,14,994,334,9994
1960,16,2,4,RFC Luik,16,7,8,1,23,16,7,778,118,7778
1960,16,3,2,Daring Club Brussel,16,9,2,5,28,21,7,992,552,9992
1960,16,4,35,RSC Anderlecht,16,7,5,4,29,19,10,775,445,7775
1960,16,5,13,Beerschot,16,8,3,5,30,22,8,883,553,8883
1960,16,6,7,KAA Gent,16,6,5,5,28,20,8,665,555,6665
1960,16,7,10,Union Saint-Gilloise,16,8,1,7,29,22,7,881,771,8881
1960,16,8,90,Eendracht Aalst,16,7,3,6,30,35,-5,773,663,7773
1960,16,9,553,Waterschei SV Thor,16,7,2,7,32,24,8,772,772,7772
1960,16,10,3,Club Brugge,16,4,7,5,21,23,-2,447,557,4447
1960,16,11,246,Olympic Charleroi,16,4,7,5,15,22,-7,447,557,4447
1960,16,12,30,Lierse SK,16,7,1,8,22,31,-9,771,881,7771
1960,16,13,1,Royal Antwerp FC,16,5,3,8,26,28,-2,553,883,5553
1960,16,14,373,Sint-Truidense VV,16,5,3,8,13,23,-10,553,883,5553
1960,16,15,33,Verviétois,16,2,5,9,15,31,-16,225,995,2225
1960,16,16,3434,Patro Eisden,16,2,3,11,11,29,-18,223,11113,2223
1960,17,1,16,Standard Luik,17,9,5,3,32,18,14,995,335,9995
1960,17,2,4,RFC Luik,17,7,9,1,23,16,7,779,119,7779
1960,17,3,13,Beerschot,17,9,3,5,32,22,10,993,553,9993
1960,17,4,2,Daring Club Brussel,17,9,3,5,29,22,7,993,553,9993
1960,17,5,35,RSC Anderlecht,17,7,6,4,29,19,10,776,446,7776
1960,17,6,553,Waterschei SV Thor,17,8,2,7,36,24,12,882,772,8882
1960,17,7,90,Eendracht Aalst,17,7,4,6,33,38,-5,774,664,7774
1960,17,8,10,Union Saint-Gilloise,17,8,1,8,29,23,6,881,881,8881
1960,17,9,7,KAA Gent,17,6,5,6,28,22,6,665,665,6665
1960,17,10,3,Club Brugge,17,5,7,5,24,24,0,557,557,5557
1960,17,11,246,Olympic Charleroi,17,4,8,5,15,22,-7,448,558,4448
1960,17,12,30,Lierse SK,17,7,2,8,22,31,-9,772,882,7772
1960,17,13,373,Sint-Truidense VV,17,6,3,8,14,23,-9,663,883,6663
1960,17,14,1,Royal Antwerp FC,17,5,4,8,27,29,-2,554,884,5554
1960,17,15,33,Verviétois,17,2,5,10,15,35,-20,225,10105,2225
1960,17,16,3434,Patro Eisden,17,2,3,12,12,32,-20,223,12123,2223
1960,18,1,16,Standard Luik,18,10,5,3,34,18,16,10105,335,1010105
1960,18,2,2,Daring Club Brussel,18,10,3,5,30,22,8,10103,553,1010103
1960,18,3,4,RFC Luik,18,7,9,2,23,17,6,779,229,7779
1960,18,4,35,RSC Anderlecht,18,8,6,4,36,19,17,886,446,8886
1960,18,5,13,Beerschot,18,9,4,5,33,23,10,994,554,9994
1960,18,6,553,Waterschei SV Thor,18,9,2,7,37,24,13,992,772,9992
1960,18,7,3,Club Brugge,18,6,7,5,27,24,3,667,557,6667
1960,18,8,90,Eendracht Aalst,18,7,4,7,33,45,-12,774,774,7774
1960,18,9,7,KAA Gent,18,6,5,7,28,23,5,665,775,6665
1960,18,10,10,Union Saint-Gilloise,18,8,1,9,30,26,4,881,991,8881
1960,18,11,30,Lierse SK,18,7,3,8,23,32,-9,773,883,7773
1960,18,12,1,Royal Antwerp FC,18,6,4,8,30,30,0,664,884,6664
1960,18,13,246,Olympic Charleroi,18,4,8,6,15,24,-9,448,668,4448
1960,18,14,373,Sint-Truidense VV,18,6,4,8,14,23,-9,664,884,6664
1960,18,15,33,Verviétois,18,2,5,11,15,38,-23,225,11115,2225
1960,18,16,3434,Patro Eisden,18,2,4,12,12,32,-20,224,12124,2224
1960,19,1,16,Standard Luik,19,11,5,3,38,18,20,11115,335,1111115
1960,19,2,4,RFC Luik,19,8,9,2,32,17,15,889,229,8889
1960,19,3,35,RSC Anderlecht,19,9,6,4,40,21,19,996,446,9996
1960,19,4,13,Beerschot,19,10,4,5,36,24,12,10104,554,1010104
1960,19,5,2,Daring Club Brussel,19,10,4,5,32,24,8,10104,554,1010104
1960,19,6,553,Waterschei SV Thor,19,9,2,8,39,28,11,992,882,9992
1960,19,7,3,Club Brugge,19,6,8,5,28,25,3,668,558,6668
1960,19,8,90,Eendracht Aalst,19,8,4,7,34,45,-11,884,774,8884
1960,19,9,373,Sint-Truidense VV,19,7,4,8,17,25,-8,774,884,7774
1960,19,10,30,Lierse SK,19,7,4,8,25,34,-9,774,884,7774
1960,19,11,7,KAA Gent,19,6,5,8,30,26,4,665,885,6665
1960,19,12,1,Royal Antwerp FC,19,6,5,8,31,31,0,665,885,6665
1960,19,13,10,Union Saint-Gilloise,19,8,1,10,30,35,-5,881,10101,8881
1960,19,14,246,Olympic Charleroi,19,4,8,7,16,27,-11,448,778,4448
