Evenement ID,Evenementnaam,Starttijd,Thuisteam,Uitteam,Marktnaam,Uitslag,Kansen
1-24130496,Royale Union Saint-Gilloise vs Standard Liege,2024-02-25T17:30:00.000000Z,Royale Union Saint-Gilloise,Standard Liege,Wedstrijduitslag,2,7.3
1-24130496,Royale Union Saint-Gilloise vs Standard Liege,2024-02-25T17:30:00.000000Z,Royale Union Saint-Gilloise,Standard Liege,Totaal Aantal Goals,Meer dan (2.5),1.71
1-24130496,Royale Union Saint-Gilloise vs Standard Liege,2024-02-25T17:30:00.000000Z,Royale Union Saint-Gilloise,Standard Liege,Totaal Aantal Goals,Onder (2.5),2.14
1-24130609,KAS Eupen vs Cercle Brugge KSV,2024-02-25T18:15:00.000000Z,KAS Eupen,Cercle Brugge KSV,Beide teams zullen scoren,Ja,1.75
1-24130609,KAS Eupen vs Cercle Brugge KSV,2024-02-25T18:15:00.000000Z,KAS Eupen,Cercle Brugge KSV,Beide teams zullen scoren,Nee,2.08
1-24130609,KAS Eupen vs Cercle Brugge KSV,2024-02-25T18:15:00.000000Z,KAS Eupen,Cercle Brugge KSV,Wedstrijduitslag,1,4.5
1-24130609,KAS Eupen vs Cercle Brugge KSV,2024-02-25T18:15:00.000000Z,KAS Eupen,Cercle Brugge KSV,Wedstrijduitslag,Gelijkspel,4
1-24130609,KAS Eupen vs Cercle Brugge KSV,2024-02-25T18:15:00.000000Z,KAS Eupen,Cercle Brugge KSV,Wedstrijduitslag,2,1.67
1-24130609,KAS Eupen vs Cercle Brugge KSV,2024-02-25T18:15:00.000000Z,KAS Eupen,Cercle Brugge KSV,Totaal Aantal Goals,Meer dan (2.5),1.74
1-24130609,KAS Eupen vs Cercle Brugge KSV,2024-02-25T18:15:00.000000Z,KAS Eupen,Cercle Brugge KSV,Totaal Aantal Goals,Onder (2.5),2.09
