ID,Startjaar,Eindjaar,Datum,Tijd,Thuisploeg,Score,Uitploeg
2622,2011,2012,13/08,20:00,Bergen,4-2,STVV
2623,2011,2012,14/08,18:00,Sporting Lokeren,0-1,Anderlecht
2624,2011,2012,14/08,20:30,KV Mechelen,2-1,Lierse SK
2625,2011,2012,19/08,20:30,Lierse SK,1-1,Beerschot AC
2626,2011,2012,20/08,20:00,STVV,0-2,Sporting Lokeren
2627,2011,2012,20/08,20:00,OH Leuven,1-2,KV Mechelen
2628,2011,2012,20/08,20:00,Westerlo,2-3,KAA Gent
2629,2011,2012,20/08,20:00,Cercle Brugge,3-2,KRC Genk
2630,2011,2012,21/08,18:00,Zulte Waregem,1-1,Club Brugge
2631,2011,2012,21/08,18:00,Anderlecht,2-2,Bergen
2632,2011,2012,21/08,20:30,Standard,3-1,KV Kortrijk
2633,2011,2012,27/08,18:00,KRC Genk,0-0,KV Mechelen
2634,2011,2012,27/08,20:00,KAA Gent,1-0,Lierse SK
2635,2011,2012,27/08,20:00,Sporting Lokeren,0-1,OH Leuven
2636,2011,2012,27/08,20:00,KV Kortrijk,4-0,STVV
2637,2011,2012,27/08,20:00,Bergen,3-1,Zulte Waregem
2638,2011,2012,27/08,20:00,Westerlo,1-3,Cercle Brugge
2639,2011,2012,28/08,15:00,Club Brugge,1-1,Anderlecht
2640,2011,2012,28/08,20:30,Beerschot AC,1-1,Standard
2641,2011,2012,09/09,20:30,STVV,3-4,KRC Genk
2642,2011,2012,10/09,20:00,OH Leuven,3-1,Bergen
2643,2011,2012,10/09,20:00,Lierse SK,1-1,Sporting Lokeren
2644,2011,2012,10/09,20:00,Cercle Brugge,2-1,Beerschot AC
2645,2011,2012,10/09,20:00,Standard,1-0,Westerlo
2646,2011,2012,11/09,18:00,KV Mechelen,1-2,Club Brugge
2647,2011,2012,11/09,18:00,Anderlecht,2-0,KV Kortrijk
2648,2011,2012,11/09,20:30,Zulte Waregem,1-3,KAA Gent
2649,2011,2012,17/09,20:00,Beerschot AC,2-0,Zulte Waregem
2650,2011,2012,17/09,20:00,KV Kortrijk,2-0,OH Leuven
2651,2011,2012,17/09,20:00,Bergen,5-1,KV Mechelen
2652,2011,2012,17/09,20:00,Cercle Brugge,0-0,Lierse SK
2653,2011,2012,17/09,20:00,Westerlo,2-0,STVV
2654,2011,2012,18/09,14:30,KAA Gent,0-1,Anderlecht
2655,2011,2012,18/09,18:00,KRC Genk,3-0,Standard
2656,2011,2012,18/09,20:30,Sporting Lokeren,1-2,Club Brugge
2657,2011,2012,24/09,18:00,KV Mechelen,0-2,Sporting Lokeren
2658,2011,2012,24/09,20:00,Club Brugge,2-1,Bergen
2659,2011,2012,24/09,20:00,STVV,3-4,KAA Gent
2660,2011,2012,24/09,20:00,Zulte Waregem,1-0,KV Kortrijk
2661,2011,2012,24/09,20:00,OH Leuven,1-1,KRC Genk
2662,2011,2012,24/09,20:00,Lierse SK,0-0,Westerlo
2663,2011,2012,25/09,18:00,Anderlecht,3-2,Beerschot AC
2664,2011,2012,25/09,20:30,Standard,0-0,Cercle Brugge
2665,2011,2012,01/10,20:00,KAA Gent,6-1,OH Leuven
2666,2011,2012,01/10,20:00,KV Kortrijk,1-0,KV Mechelen
2667,2011,2012,01/10,20:00,Bergen,3-3,Sporting Lokeren
2668,2011,2012,01/10,20:00,Westerlo,1-1,Zulte Waregem
2669,2011,2012,01/10,20:00,Cercle Brugge,2-2,STVV
2670,2011,2012,02/10,14:30,Standard,2-0,Lierse SK
2671,2011,2012,02/10,18:00,Beerschot AC,1-1,Club Brugge
2672,2011,2012,02/10,20:30,KRC Genk,0-1,Anderlecht
2673,2011,2012,15/10,18:00,Sporting Lokeren,3-1,KRC Genk
2674,2011,2012,15/10,20:00,STVV,2-4,Beerschot AC
2675,2011,2012,15/10,20:00,Zulte Waregem,1-2,Lierse SK
2676,2011,2012,15/10,20:00,OH Leuven,1-1,Westerlo
2677,2011,2012,15/10,20:00,KV Mechelen,1-2,Cercle Brugge
2678,2011,2012,15/10,20:00,Bergen,3-1,KV Kortrijk
2679,2011,2012,16/10,14:30,Club Brugge,2-0,KAA Gent
2680,2011,2012,16/10,18:00,Anderlecht,5-0,Standard
2681,2011,2012,22/10,18:00,KAA Gent,3-1,Sporting Lokeren
2682,2011,2012,22/10,20:00,KRC Genk,2-0,Bergen
2683,2011,2012,22/10,20:00,Beerschot AC,2-2,KV Mechelen
2684,2011,2012,22/10,20:00,Lierse SK,0-2,STVV
2685,2011,2012,22/10,20:00,Cercle Brugge,2-0,OH Leuven
2686,2011,2012,23/10,14:30,Westerlo,1-2,Anderlecht
2687,2011,2012,23/10,18:00,KV Kortrijk,2-1,Club Brugge
2688,2011,2012,23/10,20:30,Standard,1-0,Zulte Waregem
2689,2011,2012,29/10,18:00,Club Brugge,4-5,KRC Genk
2690,2011,2012,29/10,20:00,Zulte Waregem,1-1,Cercle Brugge
2691,2011,2012,29/10,20:00,OH Leuven,3-2,Beerschot AC
2692,2011,2012,29/10,20:00,Sporting Lokeren,1-4,KV Kortrijk
2693,2011,2012,29/10,20:00,KV Mechelen,1-0,Westerlo
2694,2011,2012,29/10,20:00,Bergen,1-1,KAA Gent
2695,2011,2012,30/10,18:00,Anderlecht,4-0,Lierse SK
2696,2011,2012,30/10,20:30,STVV,1-1,Standard
2697,2011,2012,04/11,20:30,KAA Gent,6-2,KV Mechelen
2698,2011,2012,05/11,20:00,KRC Genk,2-2,KV Kortrijk
2699,2011,2012,05/11,20:00,Beerschot AC,2-0,Bergen
2700,2011,2012,05/11,20:00,Zulte Waregem,0-0,STVV
2701,2011,2012,05/11,20:00,Lierse SK,3-1,OH Leuven
2702,2011,2012,05/11,20:00,Westerlo,2-4,Sporting Lokeren
2703,2011,2012,06/11,18:00,Cercle Brugge,1-0,Anderlecht
2704,2011,2012,06/11,20:30,Standard,2-1,Club Brugge
2705,2011,2012,18/11,20:30,OH Leuven,1-3,Standard
2706,2011,2012,19/11,20:00,KRC Genk,3-0,Westerlo
2707,2011,2012,19/11,20:00,Sporting Lokeren,1-1,Beerschot AC
2708,2011,2012,19/11,20:00,KV Kortrijk,0-4,KAA Gent
2709,2011,2012,19/11,20:00,KV Mechelen,1-1,Zulte Waregem
2710,2011,2012,19/11,20:00,Bergen,2-1,Lierse SK
2711,2011,2012,20/11,18:00,Anderlecht,3-1,STVV
2712,2011,2012,20/11,20:30,Club Brugge,1-0,Cercle Brugge
2713,2011,2012,25/11,20:30,Standard,3-2,KV Mechelen
2714,2011,2012,26/11,18:00,Zulte Waregem,2-3,Anderlecht
2715,2011,2012,26/11,20:00,Beerschot AC,0-1,KV Kortrijk
2716,2011,2012,26/11,20:00,STVV,2-1,OH Leuven
2717,2011,2012,26/11,20:00,Lierse SK,0-1,Club Brugge
2718,2011,2012,26/11,20:00,Westerlo,2-1,Bergen
2719,2011,2012,26/11,20:00,Cercle Brugge,1-1,Sporting Lokeren
2720,2011,2012,27/11,18:00,KAA Gent,2-0,KRC Genk
2721,2011,2012,02/12,20:30,Beerschot AC,2-0,KRC Genk
2722,2011,2012,03/12,20:00,STVV,2-3,Bergen
2723,2011,2012,03/12,20:00,Zulte Waregem,1-1,Sporting Lokeren
2724,2011,2012,03/12,20:00,Lierse SK,2-2,KV Mechelen
2725,2011,2012,03/12,20:00,Westerlo,0-1,Club Brugge
2726,2011,2012,03/12,20:00,Cercle Brugge,1-2,KV Kortrijk
2727,2011,2012,04/12,14:30,Anderlecht,0-0,OH Leuven
2728,2011,2012,04/12,18:00,Standard,0-0,KAA Gent
2729,2011,2012,09/12,20:30,KV Mechelen,2-1,Anderlecht
2730,2011,2012,10/12,18:00,Sporting Lokeren,1-1,Standard
2731,2011,2012,10/12,20:00,KRC Genk,4-0,Lierse SK
2732,2011,2012,10/12,20:00,KAA Gent,0-1,Beerschot AC
2733,2011,2012,10/12,20:00,OH Leuven,2-2,Zulte Waregem
2734,2011,2012,10/12,20:00,KV Kortrijk,1-0,Westerlo
2735,2011,2012,10/12,20:00,Bergen,0-2,Cercle Brugge
2736,2011,2012,11/12,18:00,Club Brugge,1-0,STVV
2737,2011,2012,15/12,20:00,Zulte Waregem,1-1,KRC Genk
2738,2011,2012,17/12,20:00,STVV,0-0,KV Mechelen
2739,2011,2012,17/12,20:00,Zulte Waregem,2-3,Bergen
2740,2011,2012,17/12,20:00,Lierse SK,2-0,KV Kortrijk
2741,2011,2012,17/12,20:00,Westerlo,3-1,Beerschot AC
2742,2011,2012,18/12,14:30,Standard,0-0,KRC Genk
2743,2011,2012,18/12,18:00,Anderlecht,3-2,Sporting Lokeren
2744,2011,2012,18/12,18:00,OH Leuven,3-1,Club Brugge
2745,2011,2012,18/12,20:30,Cercle Brugge,0-1,KAA Gent
2746,2011,2012,26/12,15:00,Club Brugge,1-0,Zulte Waregem
2747,2011,2012,26/12,18:00,KV Kortrijk,2-0,Standard
2748,2011,2012,26/12,20:30,KRC Genk,4-2,Cercle Brugge
2749,2011,2012,26/12,20:30,KAA Gent,3-1,Westerlo
2750,2011,2012,26/12,20:30,Beerschot AC,0-0,Lierse SK
2751,2011,2012,26/12,20:30,Sporting Lokeren,0-0,STVV
2752,2011,2012,26/12,20:30,KV Mechelen,2-2,OH Leuven
2753,2011,2012,27/12,20:00,Bergen,1-1,Anderlecht
2754,2011,2012,14/01,18:00,Standard,6-1,Beerschot AC
2755,2011,2012,14/01,20:00,STVV,0-0,KV Kortrijk
2756,2011,2012,14/01,20:00,OH Leuven,1-1,Sporting Lokeren
2757,2011,2012,14/01,20:00,KV Mechelen,4-1,Bergen
2758,2011,2012,14/01,20:00,Lierse SK,2-1,KAA Gent
2759,2011,2012,14/01,20:00,Cercle Brugge,3-1,Westerlo
2760,2011,2012,15/01,14:30,Anderlecht,3-0,Club Brugge
2761,2011,2012,20/01,20:30,KRC Genk,2-1,STVV
2762,2011,2012,21/01,18:00,KV Kortrijk,0-1,Anderlecht
2763,2011,2012,21/01,20:00,Club Brugge,0-1,KV Mechelen
2764,2011,2012,21/01,20:00,KAA Gent,0-0,Zulte Waregem
2765,2011,2012,21/01,20:00,Beerschot AC,4-0,Cercle Brugge
2766,2011,2012,21/01,20:00,Sporting Lokeren,2-0,Lierse SK
2767,2011,2012,21/01,20:00,Bergen,2-2,OH Leuven
2768,2011,2012,22/01,20:30,Westerlo,0-0,Standard
2769,2011,2012,25/01,20:30,Club Brugge,3-0,Sporting Lokeren
2770,2011,2012,25/01,20:30,STVV,0-3,Westerlo
2771,2011,2012,25/01,20:30,Zulte Waregem,1-0,Beerschot AC
2772,2011,2012,25/01,20:30,OH Leuven,0-2,KV Kortrijk
2773,2011,2012,25/01,20:30,KV Mechelen,3-2,KRC Genk
2774,2011,2012,25/01,20:30,Lierse SK,2-2,Cercle Brugge
2775,2011,2012,26/01,20:30,Standard,2-1,Bergen
2776,2011,2012,28/01,18:00,Beerschot AC,0-0,Anderlecht
2777,2011,2012,28/01,20:00,KRC Genk,5-0,OH Leuven
2778,2011,2012,28/01,20:00,KAA Gent,6-0,STVV
2779,2011,2012,28/01,20:00,Sporting Lokeren,3-2,KV Mechelen
2780,2011,2012,28/01,20:00,KV Kortrijk,0-0,Zulte Waregem
2781,2011,2012,28/01,20:00,Westerlo,0-2,Lierse SK
2782,2011,2012,29/01,18:00,Cercle Brugge,0-1,Standard
2783,2011,2012,29/01,20:30,Bergen,0-2,Club Brugge
2784,2011,2012,04/02,18:00,Lierse SK,0-2,Standard
2785,2011,2012,04/02,20:00,STVV,0-1,Cercle Brugge
2786,2011,2012,04/02,20:00,Zulte Waregem,3-1,Westerlo
2787,2011,2012,04/02,20:00,OH Leuven,2-3,KAA Gent
2788,2011,2012,04/02,20:00,Sporting Lokeren,3-1,Bergen
2789,2011,2012,04/02,20:00,KV Mechelen,0-0,KV Kortrijk
2790,2011,2012,05/02,14:30,Anderlecht,4-2,KRC Genk
2791,2011,2012,05/02,18:00,Club Brugge,5-1,Beerschot AC
2792,2011,2012,11/02,18:00,KRC Genk,0-1,Sporting Lokeren
2793,2011,2012,11/02,20:00,Beerschot AC,3-2,STVV
2794,2011,2012,11/02,20:00,KV Kortrijk,2-2,Bergen
2795,2011,2012,11/02,20:00,Lierse SK,2-1,Zulte Waregem
2796,2011,2012,11/02,20:00,Westerlo,1-3,OH Leuven
2797,2011,2012,11/02,20:00,Cercle Brugge,1-0,KV Mechelen
2798,2011,2012,12/02,14:30,Standard,1-2,Anderlecht
2799,2011,2012,12/02,18:00,KAA Gent,1-3,Club Brugge
2800,2011,2012,18/02,18:00,Sporting Lokeren,1-1,KAA Gent
2801,2011,2012,18/02,20:00,STVV,1-1,Lierse SK
2802,2011,2012,18/02,20:00,OH Leuven,2-3,Cercle Brugge
2803,2011,2012,18/02,20:00,KV Mechelen,2-1,Beerschot AC
2804,2011,2012,18/02,20:00,Bergen,1-2,KRC Genk
2805,2011,2012,19/02,14:30,Anderlecht,3-1,Westerlo
2806,2011,2012,19/02,18:00,Club Brugge,2-1,KV Kortrijk
2807,2011,2012,19/02,18:00,Zulte Waregem,4-2,Standard
2808,2011,2012,25/02,20:00,KAA Gent,2-0,Bergen
2809,2011,2012,25/02,20:00,Beerschot AC,2-1,OH Leuven
2810,2011,2012,25/02,20:00,KV Kortrijk,2-5,Sporting Lokeren
2811,2011,2012,25/02,20:00,Westerlo,1-3,KV Mechelen
2812,2011,2012,25/02,20:00,Cercle Brugge,1-0,Zulte Waregem
2813,2011,2012,26/02,14:30,Standard,0-0,STVV
2814,2011,2012,26/02,18:00,KRC Genk,3-0,Club Brugge
2815,2011,2012,26/02,20:30,Lierse SK,0-0,Anderlecht
2816,2011,2012,03/03,18:00,KV Mechelen,0-2,KAA Gent
2817,2011,2012,03/03,20:00,STVV,1-0,Zulte Waregem
2818,2011,2012,03/03,20:00,OH Leuven,0-0,Lierse SK
2819,2011,2012,03/03,20:00,Sporting Lokeren,4-0,Westerlo
2820,2011,2012,03/03,20:00,KV Kortrijk,3-2,KRC Genk
2821,2011,2012,03/03,20:00,Bergen,4-2,Beerschot AC
2822,2011,2012,04/03,14:30,Club Brugge,1-0,Standard
2823,2011,2012,04/03,18:00,Anderlecht,4-0,Cercle Brugge
2824,2011,2012,18/03,14:30,Standard,4-0,OH Leuven
2825,2011,2012,18/03,14:30,KAA Gent,3-1,KV Kortrijk
2826,2011,2012,18/03,14:30,Beerschot AC,2-2,Sporting Lokeren
2827,2011,2012,18/03,14:30,STVV,2-2,Anderlecht
2828,2011,2012,18/03,14:30,Zulte Waregem,2-0,KV Mechelen
2829,2011,2012,18/03,14:30,Lierse SK,1-1,Bergen
2830,2011,2012,18/03,14:30,Westerlo,3-2,KRC Genk
2831,2011,2012,18/03,14:30,Cercle Brugge,1-2,Club Brugge
2832,2011,2012,21/03,20:30,Club Brugge,1-0,Lierse SK
2833,2011,2012,21/03,20:30,Anderlecht,2-1,Zulte Waregem
2834,2011,2012,21/03,20:30,KRC Genk,3-1,KAA Gent
2835,2011,2012,21/03,20:30,OH Leuven,3-1,STVV
2836,2011,2012,21/03,20:30,Sporting Lokeren,1-0,Cercle Brugge
2837,2011,2012,21/03,20:30,KV Kortrijk,2-0,Beerschot AC
2838,2011,2012,21/03,20:30,KV Mechelen,1-2,Standard
2839,2011,2012,21/03,20:30,Bergen,2-1,Westerlo
2840,2011,2012,17/05,20:30,Cercle Brugge,1-5,KAA Gent
2841,2011,2012,20/05,14:30,KAA Gent,2-1,Cercle Brugge
2842,2012,2013,22/07,18:00,Anderlecht,3-2,Sporting Lokeren
2843,2012,2013,28/07,18:00,KV Kortrijk,1-1,Anderlecht
2844,2012,2013,28/07,20:00,Club Brugge,3-1,SK Beveren
2845,2012,2013,28/07,20:00,Beerschot AC,2-4,Sporting Lokeren
2846,2012,2013,28/07,20:00,KV Mechelen,4-2,Charleroi
2847,2012,2013,28/07,20:00,Bergen,5-2,OH Leuven
2848,2012,2013,29/07,18:00,Standard,0-1,Zulte Waregem
2849,2012,2013,29/07,18:00,KAA Gent,2-0,Lierse SK
2850,2012,2013,29/07,20:30,KRC Genk,3-3,Cercle Brugge
2851,2012,2013,03/08,20:30,Lierse SK,0-0,Standard
2852,2012,2013,04/08,18:00,Charleroi,0-1,Club Brugge
2853,2012,2013,04/08,20:00,Anderlecht,1-0,Beerschot AC
2854,2012,2013,04/08,20:00,Sporting Lokeren,2-2,Bergen
2855,2012,2013,04/08,20:00,SK Beveren,0-0,KV Mechelen
2856,2012,2013,04/08,20:00,Cercle Brugge,1-2,KV Kortrijk
2857,2012,2013,05/08,18:00,Zulte Waregem,3-1,KAA Gent
2858,2012,2013,05/08,18:00,OH Leuven,2-2,KRC Genk
2859,2012,2013,10/08,20:30,Standard,3-1,SK Beveren
2860,2012,2013,11/08,18:00,KV Mechelen,3-3,Club Brugge
2861,2012,2013,11/08,20:00,Beerschot AC,1-1,Zulte Waregem
2862,2012,2013,11/08,20:00,KV Kortrijk,0-1,Charleroi
2863,2012,2013,11/08,20:00,Bergen,1-1,Lierse SK
2864,2012,2013,12/08,18:00,KRC Genk,1-0,Sporting Lokeren
2865,2012,2013,12/08,18:00,KAA Gent,1-1,OH Leuven
2866,2012,2013,12/08,20:30,Cercle Brugge,0-3,Anderlecht
2867,2012,2013,18/08,20:00,Club Brugge,3-1,Beerschot AC
2868,2012,2013,18/08,20:00,Anderlecht,2-1,Bergen
2869,2012,2013,18/08,20:00,Zulte Waregem,2-0,KV Kortrijk
2870,2012,2013,18/08,20:00,OH Leuven,3-2,Cercle Brugge
2871,2012,2013,18/08,20:00,Sporting Lokeren,2-1,KV Mechelen
2872,2012,2013,18/08,20:00,Lierse SK,1-1,KRC Genk
2873,2012,2013,18/08,20:00,SK Beveren,0-2,KAA Gent
2874,2012,2013,19/08,18:00,Charleroi,2-6,Standard
2875,2012,2013,25/08,18:00,OH Leuven,1-1,Anderlecht
2876,2012,2013,25/08,20:00,Beerschot AC,2-0,Charleroi
2877,2012,2013,25/08,20:00,KV Kortrijk,2-1,SK Beveren
2878,2012,2013,25/08,20:00,Cercle Brugge,0-3,Lierse SK
2879,2012,2013,26/08,14:30,Standard,3-2,KV Mechelen
2880,2012,2013,26/08,18:00,KRC Genk,2-0,Zulte Waregem
2881,2012,2013,26/08,18:00,KAA Gent,2-1,Sporting Lokeren
2882,2012,2013,26/08,20:30,Bergen,1-3,Club Brugge
2883,2012,2013,01/09,18:00,KV Mechelen,0-2,Beerschot AC
2884,2012,2013,01/09,20:00,Charleroi,1-1,KAA Gent
2885,2012,2013,01/09,20:00,Zulte Waregem,2-4,Bergen
2886,2012,2013,01/09,20:00,Lierse SK,1-1,OH Leuven
2887,2012,2013,01/09,20:00,SK Beveren,2-0,Cercle Brugge
2888,2012,2013,02/09,14:30,Club Brugge,4-2,Standard
2889,2012,2013,02/09,18:00,Anderlecht,2-2,KRC Genk
2890,2012,2013,02/09,20:30,Sporting Lokeren,0-1,KV Kortrijk
2891,2012,2013,14/09,20:30,KV Kortrijk,1-1,Club Brugge
2892,2012,2013,15/09,18:00,Lierse SK,1-1,Anderlecht
2893,2012,2013,15/09,20:00,KRC Genk,1-1,SK Beveren
2894,2012,2013,15/09,20:00,KAA Gent,0-2,KV Mechelen
2895,2012,2013,15/09,20:00,OH Leuven,0-1,Zulte Waregem
2896,2012,2013,15/09,20:00,Bergen,2-3,Charleroi
2897,2012,2013,15/09,20:00,Cercle Brugge,0-1,Sporting Lokeren
2898,2012,2013,16/09,18:00,Beerschot AC,3-2,Standard
2899,2012,2013,21/09,20:30,Standard,1-2,KAA Gent
2900,2012,2013,22/09,18:00,Zulte Waregem,2-3,Anderlecht
2901,2012,2013,22/09,20:00,Beerschot AC,2-1,KV Kortrijk
2902,2012,2013,22/09,20:00,Sporting Lokeren,2-2,OH Leuven
2903,2012,2013,22/09,20:00,KV Mechelen,3-0,Bergen
2904,2012,2013,22/09,20:00,SK Beveren,1-1,Lierse SK
2905,2012,2013,23/09,14:30,Club Brugge,4-0,Cercle Brugge
2906,2012,2013,23/09,20:30,Charleroi,1-2,KRC Genk
2907,2012,2013,29/09,20:00,Anderlecht,3-0,Sporting Lokeren
2908,2012,2013,29/09,20:00,KRC Genk,2-1,KV Mechelen
2909,2012,2013,29/09,20:00,OH Leuven,5-2,SK Beveren
2910,2012,2013,29/09,20:00,Lierse SK,1-4,Zulte Waregem
2911,2012,2013,29/09,20:00,Bergen,1-0,Beerschot AC
2912,2012,2013,29/09,20:00,Cercle Brugge,1-0,Charleroi
2913,2012,2013,30/09,14:30,KAA Gent,2-2,Club Brugge
2914,2012,2013,30/09,18:00,KV Kortrijk,2-1,Standard
2915,2012,2013,05/10,20:30,Beerschot AC,2-2,KAA Gent
2916,2012,2013,06/10,20:00,Charleroi,0-4,OH Leuven
2917,2012,2013,06/10,20:00,Zulte Waregem,3-1,Cercle Brugge
2918,2012,2013,06/10,20:00,Sporting Lokeren,2-2,Lierse SK
2919,2012,2013,06/10,20:00,KV Mechelen,0-2,KV Kortrijk
2920,2012,2013,06/10,20:00,SK Beveren,2-2,Bergen
2921,2012,2013,07/10,14:30,Standard,2-1,Anderlecht
2922,2012,2013,07/10,18:00,Club Brugge,1-1,KRC Genk
2923,2012,2013,19/10,20:00,Anderlecht,2-0,SK Beveren
2924,2012,2013,20/10,18:00,KRC Genk,3-0,Beerschot AC
2925,2012,2013,20/10,20:00,KAA Gent,0-1,KV Kortrijk
2926,2012,2013,20/10,20:00,Zulte Waregem,0-3,Sporting Lokeren
2927,2012,2013,20/10,20:00,OH Leuven,4-1,Club Brugge
2928,2012,2013,20/10,20:00,Lierse SK,0-1,Charleroi
2929,2012,2013,20/10,20:00,Cercle Brugge,1-2,KV Mechelen
2930,2012,2013,21/10,18:00,Bergen,3-1,Standard
2931,2012,2013,26/10,20:30,Standard,2-1,Cercle Brugge
2932,2012,2013,27/10,19:00,Charleroi,2-0,Anderlecht
2933,2012,2013,27/10,20:00,KAA Gent,2-0,Bergen
2934,2012,2013,27/10,20:00,Beerschot AC,1-3,OH Leuven
2935,2012,2013,27/10,20:00,KV Mechelen,3-0,Lierse SK
2936,2012,2013,27/10,20:00,SK Beveren,0-2,Zulte Waregem
2937,2012,2013,28/10,14:30,KV Kortrijk,1-1,KRC Genk
2938,2012,2013,28/10,18:00,Club Brugge,2-3,Sporting Lokeren
2939,2012,2013,30/10,20:00,Anderlecht,5-0,KAA Gent
2940,2012,2013,31/10,20:30,KRC Genk,0-2,Standard
2941,2012,2013,31/10,20:30,Zulte Waregem,4-1,Charleroi
2942,2012,2013,31/10,20:30,OH Leuven,3-1,KV Mechelen
2943,2012,2013,31/10,20:30,Sporting Lokeren,2-0,SK Beveren
2944,2012,2013,31/10,20:30,Lierse SK,3-2,Club Brugge
2945,2012,2013,31/10,20:30,Bergen,1-0,KV Kortrijk
2946,2012,2013,31/10,20:30,Cercle Brugge,3-1,Beerschot AC
2947,2012,2013,03/11,18:00,KV Mechelen,1-4,Anderlecht
2948,2012,2013,03/11,20:00,KAA Gent,1-2,KRC Genk
2949,2012,2013,03/11,20:00,Beerschot AC,1-2,SK Beveren
2950,2012,2013,03/11,20:00,Charleroi,0-2,Sporting Lokeren
2951,2012,2013,03/11,20:00,KV Kortrijk,4-1,Lierse SK
2952,2012,2013,03/11,20:00,Bergen,3-2,Cercle Brugge
2953,2012,2013,04/11,18:00,Club Brugge,0-1,Zulte Waregem
2954,2012,2013,04/11,20:30,Standard,2-0,OH Leuven
2955,2012,2013,09/11,20:30,Sporting Lokeren,2-1,Standard
2956,2012,2013,10/11,20:00,Zulte Waregem,1-1,KV Mechelen
2957,2012,2013,10/11,20:00,OH Leuven,0-0,KV Kortrijk
2958,2012,2013,10/11,20:00,Lierse SK,1-3,Beerschot AC
2959,2012,2013,10/11,20:00,SK Beveren,0-0,Charleroi
2960,2012,2013,10/11,20:00,Cercle Brugge,2-2,KAA Gent
2961,2012,2013,11/11,14:30,Anderlecht,6-1,Club Brugge
2962,2012,2013,11/11,18:00,KRC Genk,5-1,Bergen
2963,2012,2013,17/11,20:00,Charleroi,1-1,KV Mechelen
2964,2012,2013,17/11,20:00,OH Leuven,1-3,Bergen
2965,2012,2013,17/11,20:00,Lierse SK,2-0,KAA Gent
2966,2012,2013,17/11,20:00,SK Beveren,2-6,Club Brugge
2967,2012,2013,17/11,20:00,Cercle Brugge,3-1,KRC Genk
2968,2012,2013,18/11,14:30,Zulte Waregem,0-0,Standard
2969,2012,2013,18/11,18:00,Anderlecht,1-0,KV Kortrijk
2970,2012,2013,18/11,20:30,Sporting Lokeren,1-0,Beerschot AC
2971,2012,2013,23/11,20:30,Standard,3-0,Lierse SK
2972,2012,2013,24/11,18:00,Beerschot AC,1-4,Anderlecht
2973,2012,2013,24/11,20:00,KAA Gent,0-1,Zulte Waregem
2974,2012,2013,24/11,20:00,KV Kortrijk,3-1,Cercle Brugge
2975,2012,2013,24/11,20:00,KV Mechelen,0-1,SK Beveren
2976,2012,2013,24/11,20:00,Bergen,1-2,Sporting Lokeren
2977,2012,2013,25/11,18:00,Club Brugge,1-0,Charleroi
2978,2012,2013,25/11,20:30,KRC Genk,1-1,OH Leuven
2979,2012,2013,01/12,20:00,Club Brugge,1-1,KV Mechelen
2980,2012,2013,01/12,20:00,Anderlecht,2-1,Cercle Brugge
2981,2012,2013,01/12,20:00,Charleroi,2-0,KV Kortrijk
2982,2012,2013,01/12,20:00,Zulte Waregem,0-0,Beerschot AC
2983,2012,2013,01/12,20:00,OH Leuven,1-1,KAA Gent
2984,2012,2013,01/12,20:00,Lierse SK,0-3,Bergen
2985,2012,2013,02/12,14:30,Sporting Lokeren,3-4,KRC Genk
2986,2012,2013,02/12,18:00,SK Beveren,0-2,Standard
2987,2012,2013,07/12,20:30,Standard,6-1,Charleroi
2988,2012,2013,08/12,18:00,Bergen,0-5,Anderlecht
2989,2012,2013,08/12,20:00,KAA Gent,0-2,SK Beveren
2990,2012,2013,08/12,20:00,KV Kortrijk,1-2,Zulte Waregem
2991,2012,2013,08/12,20:00,KV Mechelen,2-1,Sporting Lokeren
2992,2012,2013,08/12,20:00,Cercle Brugge,1-1,OH Leuven
2993,2012,2013,09/12,14:30,Beerschot AC,1-7,Club Brugge
2994,2012,2013,09/12,18:00,KRC Genk,4-1,Lierse SK
2995,2012,2013,15/12,18:00,KV Mechelen,0-2,Standard
2996,2012,2013,15/12,20:00,Club Brugge,2-0,Bergen
2997,2012,2013,15/12,20:00,Charleroi,1-0,Beerschot AC
2998,2012,2013,15/12,20:00,Sporting Lokeren,2-2,KAA Gent
2999,2012,2013,15/12,20:00,Lierse SK,1-1,Cercle Brugge
3000,2012,2013,15/12,20:00,SK Beveren,1-0,KV Kortrijk
3001,2012,2013,16/12,14:30,Zulte Waregem,3-2,KRC Genk
3002,2012,2013,16/12,18:00,Anderlecht,2-1,OH Leuven
3003,2012,2013,21/12,20:30,KV Kortrijk,2-3,Sporting Lokeren
3004,2012,2013,22/12,20:00,KAA Gent,1-2,Charleroi
3005,2012,2013,22/12,20:00,Beerschot AC,0-2,KV Mechelen
3006,2012,2013,22/12,20:00,OH Leuven,2-2,Lierse SK
3007,2012,2013,22/12,20:00,Bergen,1-1,Zulte Waregem
3008,2012,2013,22/12,20:00,Cercle Brugge,2-2,SK Beveren
3009,2012,2013,23/12,14:30,Standard,1-3,Club Brugge
3010,2012,2013,23/12,18:00,KRC Genk,2-4,Anderlecht
3011,2012,2013,26/12,14:30,Charleroi,1-2,Bergen
3012,2012,2013,26/12,14:30,Zulte Waregem,2-1,OH Leuven
3013,2012,2013,26/12,14:30,Sporting Lokeren,3-0,Cercle Brugge
3014,2012,2013,26/12,14:30,KV Mechelen,1-0,KAA Gent
