Seizoen,Speeldag,Roepnaam,AantalFouten,FoutType
1960.0,2,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,2,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,2,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,2,Standard Luik,1,AantalGespeeldCorrect
1960.0,2,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,2,Verviétois,1,AantalGespeeldCorrect
1960.0,2,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,20,Beerschot,1,AantalGespeeldCorrect
1960.0,20,Club Brugge,1,AantalGespeeldCorrect
1960.0,20,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,20,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,20,KAA Gent,1,AantalGespeeldCorrect
1960.0,20,Lierse SK,1,AantalGespeeldCorrect
1960.0,20,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,20,Patro Eisden,1,AantalGespeeldCorrect
1960.0,20,RFC Luik,1,AantalGespeeldCorrect
1960.0,20,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,20,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,20,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,20,Standard Luik,1,AantalGespeeldCorrect
1960.0,20,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,20,Verviétois,1,AantalGespeeldCorrect
1960.0,20,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,21,Beerschot,1,AantalGespeeldCorrect
1960.0,21,Club Brugge,1,AantalGespeeldCorrect
1960.0,21,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,21,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,21,KAA Gent,1,AantalGespeeldCorrect
1960.0,21,Lierse SK,1,AantalGespeeldCorrect
1960.0,21,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,21,Patro Eisden,1,AantalGespeeldCorrect
1960.0,21,RFC Luik,1,AantalGespeeldCorrect
1960.0,21,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,21,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,21,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,21,Standard Luik,1,AantalGespeeldCorrect
1960.0,21,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,21,Verviétois,1,AantalGespeeldCorrect
1960.0,21,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,22,Beerschot,1,AantalGespeeldCorrect
1960.0,22,Club Brugge,1,AantalGespeeldCorrect
1960.0,22,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,22,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,22,KAA Gent,1,AantalGespeeldCorrect
1960.0,22,Lierse SK,1,AantalGespeeldCorrect
1960.0,22,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,22,Patro Eisden,1,AantalGespeeldCorrect
1960.0,22,RFC Luik,1,AantalGespeeldCorrect
1960.0,22,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,22,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,22,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,22,Standard Luik,1,AantalGespeeldCorrect
1960.0,22,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,22,Verviétois,1,AantalGespeeldCorrect
1960.0,22,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,23,Beerschot,1,AantalGespeeldCorrect
1960.0,23,Club Brugge,1,AantalGespeeldCorrect
1960.0,23,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,23,Eendracht Aalst,1,AantalGespeeldCorrect
1960.0,23,KAA Gent,1,AantalGespeeldCorrect
1960.0,23,Lierse SK,1,AantalGespeeldCorrect
1960.0,23,Olympic Charleroi,1,AantalGespeeldCorrect
1960.0,23,Patro Eisden,1,AantalGespeeldCorrect
1960.0,23,RFC Luik,1,AantalGespeeldCorrect
1960.0,23,RSC Anderlecht,1,AantalGespeeldCorrect
1960.0,23,Royal Antwerp FC,1,AantalGespeeldCorrect
1960.0,23,Sint-Truidense VV,1,AantalGespeeldCorrect
1960.0,23,Standard Luik,1,AantalGespeeldCorrect
1960.0,23,Union Saint-Gilloise,1,AantalGespeeldCorrect
1960.0,23,Verviétois,1,AantalGespeeldCorrect
1960.0,23,Waterschei SV Thor,1,AantalGespeeldCorrect
1960.0,24,Beerschot,1,AantalGespeeldCorrect
1960.0,24,Club Brugge,1,AantalGespeeldCorrect
1960.0,24,Daring Club Brussel,1,AantalGespeeldCorrect
1960.0,24,Eendracht Aalst,1,AantalGespeeldCorrect
