ID,Wedstrijd,Starttijd,Thuisploeg,Uitploeg,Vraag,Keuze,Kans
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,1,2.31,28-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,Gelijkspel,3.59,25-03-2024 00:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,2,2.79,25-03-2024 00:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Totaal Aantal Goals,Meer dan (2.5),1.78,26-03-2024 12:57:25
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Totaal Aantal Goals,Onder (2.5),2.04,26-03-2024 12:57:25
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Beide teams zullen scoren,Ja,1.63,30-03-2024 14:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Beide teams zullen scoren,Nee,2.28,30-03-2024 14:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,Gelijkspel,3.37,28-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,2,2.94,28-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,Gelijkspel,3.36,30-03-2024 08:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,2,2.95,26-03-2024 12:57:25
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Totaal Aantal Goals,Meer dan (2.5),1.74,28-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Totaal Aantal Goals,Onder (2.5),1.96,28-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Beide teams zullen scoren,Ja,1.64,29-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Beide teams zullen scoren,Nee,2.25,29-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,1,2.33,29-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,Gelijkspel,3.4,29-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,2,3.03,29-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Totaal Aantal Goals,Meer dan (2.5),1.79,30-03-2024 08:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Totaal Aantal Goals,Onder (2.5),2.02,30-03-2024 08:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,1,2.34,30-03-2024 08:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,2,3.02,30-03-2024 08:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,1,2.45,30-03-2024 14:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,Gelijkspel,3.32,30-03-2024 14:00:02
