Match_ID,Seizoen,Speeldag,Datum,Tijdstip,Thuisploeg,Resultaat_Thuisploeg,Resultaat_Uitploeg,Uitploeg
4008305,1960-1961,16,"zondag,zo8 jan. 1961",14:45 uur,Antwerp FC,5,1,Eendracht Aalst
4008306,1960-1961,16,"zondag,zo8 jan. 1961",14:45 uur,RSC Anderlecht,1,1,Olymp. Charleroi
4008307,1960-1961,16,"zondag,zo8 jan. 1961",14:45 uur,Union SG,4,1,Club Brugge
4008308,1960-1961,16,"zondag,zo8 jan. 1961",14:45 uur,K Patro Eisden,0,1,Daring Club
4008309,1960-1961,16,"zondag,zo8 jan. 1961",14:45 uur,ARA Gent,1,1,RFC Luik
4008310,1960-1961,16,"zondag,zo8 jan. 1961",14:45 uur,Lierse SK,3,1,Waterschei THOR
4008382,1960-1961,16,"zondag,zo19 mrt. 1961",15:00 uur,Verviétois,0,0,Beerschot AC
4008392,1960-1961,16,"zaterdag,za1 apr. 1961",18:00 uur,Standard Luik,1,0,St-Truidense VV
4008311,1960-1961,17,"zondag,zo15 jan. 1961",15:00 uur,Eendracht Aalst,3,3,Standard Luik
4008312,1960-1961,17,"zondag,zo15 jan. 1961",15:00 uur,RFC Luik,0,0,RSC Anderlecht
4008313,1960-1961,17,"zondag,zo15 jan. 1961",15:00 uur,Daring Club,1,1,Antwerp FC
4008314,1960-1961,17,"zondag,zo15 jan. 1961",15:00 uur,Beerschot AC,2,0,ARA Gent
4008315,1960-1961,17,"zondag,zo15 jan. 1961",15:00 uur,Club Brugge,3,1,K Patro Eisden
4008316,1960-1961,17,"zondag,zo15 jan. 1961",15:00 uur,St-Truidense VV,1,0,Union SG
4008317,1960-1961,17,"zondag,zo15 jan. 1961",15:00 uur,Waterschei THOR,4,0,Verviétois
4008393,1960-1961,17,"zaterdag,za1 apr. 1961",17:00 uur,Olymp. Charleroi,0,0,Lierse SK
4008318,1960-1961,18,"zondag,zo22 jan. 1961",15:00 uur,Olymp. Charleroi,0,2,Standard Luik
4008319,1960-1961,18,"zondag,zo22 jan. 1961",15:00 uur,RSC Anderlecht,7,0,Eendracht Aalst
4008320,1960-1961,18,"zondag,zo22 jan. 1961",15:00 uur,Antwerp FC,3,1,Union SG
4008321,1960-1961,18,"zondag,zo22 jan. 1961",15:00 uur,Lierse SK,1,1,Beerschot AC
4008322,1960-1961,18,"zondag,zo22 jan. 1961",15:00 uur,Verviétois,0,3,Club Brugge
4008323,1960-1961,18,"zondag,zo22 jan. 1961",15:00 uur,ARA Gent,0,1,Daring Club
4008324,1960-1961,18,"zondag,zo22 jan. 1961",15:00 uur,K Patro Eisden,0,0,St-Truidense VV
4008325,1960-1961,18,"zondag,zo22 jan. 1961",15:00 uur,RFC Luik,0,1,Waterschei THOR
4008326,1960-1961,19,"zondag,zo29 jan. 1961",15:00 uur,Standard Luik,4,0,K Patro Eisden
4008327,1960-1961,19,"zondag,zo29 jan. 1961",15:00 uur,Eendracht Aalst,1,0,Verviétois
4008328,1960-1961,19,"zondag,zo29 jan. 1961",15:00 uur,Waterschei THOR,2,4,RSC Anderlecht
4008329,1960-1961,19,"zondag,zo29 jan. 1961",15:00 uur,Club Brugge,1,1,Antwerp FC
4008330,1960-1961,19,"zondag,zo29 jan. 1961",15:00 uur,Beerschot AC,3,1,Olymp. Charleroi
4008331,1960-1961,19,"zondag,zo29 jan. 1961",15:00 uur,Daring Club,2,2,Lierse SK
4008332,1960-1961,19,"zondag,zo29 jan. 1961",15:00 uur,St-Truidense VV,3,2,ARA Gent
4008333,1960-1961,19,"zondag,zo29 jan. 1961",15:00 uur,Union SG,0,9,RFC Luik
4008334,1960-1961,20,"zondag,zo5 feb. 1961",15:00 uur,Verviétois,3,3,Standard Luik
4008335,1960-1961,20,"zondag,zo5 feb. 1961",15:00 uur,Eendracht Aalst,2,0,Union SG
4008336,1960-1961,20,"zondag,zo5 feb. 1961",15:00 uur,RSC Anderlecht,1,0,St-Truidense VV
4008337,1960-1961,20,"zondag,zo5 feb. 1961",15:00 uur,Antwerp FC,3,0,Beerschot AC
4008338,1960-1961,20,"zondag,zo5 feb. 1961",15:00 uur,Waterschei THOR,2,1,Club Brugge
4008339,1960-1961,20,"zondag,zo5 feb. 1961",15:00 uur,RFC Luik,0,0,Daring Club
4008340,1960-1961,20,"zondag,zo5 feb. 1961",15:00 uur,Lierse SK,1,0,K Patro Eisden
4008341,1960-1961,20,"zondag,zo5 feb. 1961",15:00 uur,Olymp. Charleroi,1,1,ARA Gent
4008342,1960-1961,21,"zondag,zo12 feb. 1961",15:00 uur,Standard Luik,2,0,RFC Luik
4008343,1960-1961,21,"zondag,zo12 feb. 1961",15:00 uur,St-Truidense VV,2,2,Eendracht Aalst
4008344,1960-1961,21,"zondag,zo12 feb. 1961",15:00 uur,Lierse SK,1,2,RSC Anderlecht
4008345,1960-1961,21,"zondag,zo12 feb. 1961",15:00 uur,K Patro Eisden,2,0,Antwerp FC
4008346,1960-1961,21,"zondag,zo12 feb. 1961",15:00 uur,Beerschot AC,2,3,Club Brugge
4008347,1960-1961,21,"zondag,zo12 feb. 1961",15:00 uur,Daring Club,1,1,Olymp. Charleroi
4008348,1960-1961,21,"zondag,zo12 feb. 1961",15:00 uur,ARA Gent,4,2,Waterschei THOR
4008349,1960-1961,21,"zondag,zo12 feb. 1961",15:00 uur,Union SG,1,0,Verviétois
4008350,1960-1961,22,"zondag,zo19 feb. 1961",15:00 uur,RSC Anderlecht,1,1,Standard Luik
4008351,1960-1961,22,"zondag,zo19 feb. 1961",15:00 uur,Club Brugge,2,2,Eendracht Aalst
4008352,1960-1961,22,"zondag,zo19 feb. 1961",15:00 uur,Verviétois,2,2,Antwerp FC
4008353,1960-1961,22,"zondag,zo19 feb. 1961",15:00 uur,Beerschot AC,2,1,Daring Club
4008354,1960-1961,22,"zondag,zo19 feb. 1961",15:00 uur,Waterschei THOR,0,2,K Patro Eisden
4008355,1960-1961,22,"zondag,zo19 feb. 1961",15:00 uur,ARA Gent,1,1,Lierse SK
4008356,1960-1961,22,"zondag,zo19 feb. 1961",15:00 uur,RFC Luik,1,0,St-Truidense VV
4008357,1960-1961,22,"zondag,zo19 feb. 1961",15:00 uur,Olymp. Charleroi,1,0,Union SG
4008358,1960-1961,23,"zondag,zo26 feb. 1961",15:00 uur,Standard Luik,1,0,Beerschot AC
4008359,1960-1961,23,"zondag,zo26 feb. 1961",15:00 uur,Eendracht Aalst,1,1,ARA Gent
4008360,1960-1961,23,"zondag,zo26 feb. 1961",15:00 uur,Verviétois,0,2,RSC Anderlecht
4008361,1960-1961,23,"zondag,zo26 feb. 1961",15:00 uur,Antwerp FC,1,0,Waterschei THOR
4008362,1960-1961,23,"zondag,zo26 feb. 1961",15:00 uur,Club Brugge,3,0,Olymp. Charleroi
4008363,1960-1961,23,"zondag,zo26 feb. 1961",15:00 uur,Union SG,3,4,Daring Club
4008364,1960-1961,23,"zondag,zo26 feb. 1961",15:00 uur,K Patro Eisden,1,3,RFC Luik
4008365,1960-1961,23,"zondag,zo26 feb. 1961",15:00 uur,St-Truidense VV,3,1,Lierse SK
4008367,1960-1961,24,"zondag,zo5 mrt. 1961",15:00 uur,Standard Luik,2,0,Union SG
4008368,1960-1961,24,"zondag,zo5 mrt. 1961",15:00 uur,K Patro Eisden,3,1,Eendracht Aalst
4008369,1960-1961,24,"zondag,zo5 mrt. 1961",15:00 uur,Daring Club,1,0,RSC Anderlecht
4008370,1960-1961,24,"zondag,zo5 mrt. 1961",15:00 uur,Lierse SK,2,2,Antwerp FC
4008371,1960-1961,24,"zondag,zo5 mrt. 1961",15:00 uur,Beerschot AC,0,2,RFC Luik
4008372,1960-1961,24,"zondag,zo5 mrt. 1961",15:00 uur,St-Truidense VV,4,0,Club Brugge
4008373,1960-1961,24,"zondag,zo5 mrt. 1961",15:00 uur,ARA Gent,0,2,Verviétois
4008374,1960-1961,24,"zondag,zo5 mrt. 1961",15:00 uur,Olymp. Charleroi,1,1,Waterschei THOR
4008384,1960-1961,25,"zondag,zo26 mrt. 1961",15:00 uur,Eendracht Aalst,2,2,Olymp. Charleroi
4008385,1960-1961,25,"zondag,zo26 mrt. 1961",15:00 uur,RSC Anderlecht,1,0,Beerschot AC
4008386,1960-1961,25,"zondag,zo26 mrt. 1961",15:00 uur,Antwerp FC,2,0,St-Truidense VV
4008387,1960-1961,25,"zondag,zo26 mrt. 1961",15:00 uur,Waterschei THOR,2,1,Daring Club
4008388,1960-1961,25,"zondag,zo26 mrt. 1961",15:00 uur,Verviétois,2,0,K Patro Eisden
4008389,1960-1961,25,"zondag,zo26 mrt. 1961",15:00 uur,Union SG,2,1,ARA Gent
4008390,1960-1961,25,"zondag,zo26 mrt. 1961",15:00 uur,RFC Luik,2,0,Lierse SK
4008383,1960-1961,25,"zondag,zo26 mrt. 1961",18:00 uur,Club Brugge,1,1,Standard Luik
4008395,1960-1961,26,"zondag,zo9 apr. 1961",15:00 uur,Standard Luik,2,0,Antwerp FC
4008396,1960-1961,26,"zondag,zo9 apr. 1961",15:00 uur,Daring Club,0,0,Eendracht Aalst
4008397,1960-1961,26,"zondag,zo9 apr. 1961",15:00 uur,ARA Gent,3,1,RSC Anderlecht
4008398,1960-1961,26,"zondag,zo9 apr. 1961",15:00 uur,Beerschot AC,0,0,Waterschei THOR
4008399,1960-1961,26,"zondag,zo9 apr. 1961",15:00 uur,Lierse SK,6,2,Club Brugge
4008400,1960-1961,26,"zondag,zo9 apr. 1961",15:00 uur,K Patro Eisden,1,1,Union SG
4008401,1960-1961,26,"zondag,zo9 apr. 1961",15:00 uur,Olymp. Charleroi,0,3,RFC Luik
4008402,1960-1961,26,"zondag,zo9 apr. 1961",15:00 uur,St-Truidense VV,1,0,Verviétois
4008403,1960-1961,27,"zondag,zo16 apr. 1961",15:00 uur,Lierse SK,0,6,Standard Luik
4008404,1960-1961,27,"zondag,zo16 apr. 1961",15:00 uur,Waterschei THOR,1,0,Eendracht Aalst
4008405,1960-1961,27,"zondag,zo16 apr. 1961",15:00 uur,RSC Anderlecht,3,0,Union SG
4008406,1960-1961,27,"zondag,zo16 apr. 1961",15:00 uur,Olymp. Charleroi,2,0,Antwerp FC
4008407,1960-1961,27,"zondag,zo16 apr. 1961",15:00 uur,Beerschot AC,3,2,K Patro Eisden
4008408,1960-1961,27,"zondag,zo16 apr. 1961",15:00 uur,ARA Gent,4,1,Club Brugge
4008409,1960-1961,27,"zondag,zo16 apr. 1961",15:00 uur,Daring Club,0,3,St-Truidense VV
4008410,1960-1961,27,"zondag,zo16 apr. 1961",15:00 uur,RFC Luik,1,0,Verviétois
4008411,1960-1961,28,"zondag,zo23 apr. 1961",15:00 uur,Standard Luik,3,1,ARA Gent
4008412,1960-1961,28,"zondag,zo23 apr. 1961",15:00 uur,Eendracht Aalst,1,1,Beerschot AC
4008413,1960-1961,28,"zondag,zo23 apr. 1961",15:00 uur,Antwerp FC,0,2,RSC Anderlecht
4008414,1960-1961,28,"zondag,zo23 apr. 1961",15:00 uur,Club Brugge,1,1,RFC Luik
4008415,1960-1961,28,"zondag,zo23 apr. 1961",15:00 uur,Verviétois,2,1,Daring Club
4008416,1960-1961,28,"zondag,zo23 apr. 1961",15:00 uur,K Patro Eisden,2,2,Olymp. Charleroi
4008417,1960-1961,28,"zondag,zo23 apr. 1961",15:00 uur,Union SG,4,4,Lierse SK
4008418,1960-1961,28,"zondag,zo23 apr. 1961",15:00 uur,St-Truidense VV,0,0,Waterschei THOR
4008419,1960-1961,29,"zondag,zo30 apr. 1961",15:00 uur,Waterschei THOR,1,1,Standard Luik
4008420,1960-1961,29,"zondag,zo30 apr. 1961",15:00 uur,RFC Luik,3,1,Eendracht Aalst
4008421,1960-1961,29,"zondag,zo30 apr. 1961",15:00 uur,RSC Anderlecht,0,1,K Patro Eisden
4008422,1960-1961,29,"zondag,zo30 apr. 1961",15:00 uur,ARA Gent,1,2,Antwerp FC
4008423,1960-1961,29,"zondag,zo30 apr. 1961",15:00 uur,Beerschot AC,3,0,Union SG
4008424,1960-1961,29,"zondag,zo30 apr. 1961",15:00 uur,Daring Club,1,0,Club Brugge
4008425,1960-1961,29,"zondag,zo30 apr. 1961",15:00 uur,Lierse SK,1,1,Verviétois
4008426,1960-1961,29,"zondag,zo30 apr. 1961",15:00 uur,Olymp. Charleroi,1,2,St-Truidense VV
4008427,1960-1961,30,"zondag,zo7 mei 1961",15:00 uur,Standard Luik,7,0,Daring Club
4008428,1960-1961,30,"zondag,zo7 mei 1961",15:00 uur,Eendracht Aalst,1,3,Lierse SK
4008429,1960-1961,30,"zondag,zo7 mei 1961",15:00 uur,Club Brugge,3,2,RSC Anderlecht
4008430,1960-1961,30,"zondag,zo7 mei 1961",15:00 uur,Antwerp FC,3,2,RFC Luik
4008431,1960-1961,30,"zondag,zo7 mei 1961",15:00 uur,St-Truidense VV,0,0,Beerschot AC
4008432,1960-1961,30,"zondag,zo7 mei 1961",15:00 uur,K Patro Eisden,0,5,ARA Gent
4008433,1960-1961,30,"zondag,zo7 mei 1961",15:00 uur,Verviétois,0,0,Olymp. Charleroi
4008434,1960-1961,30,"zondag,zo7 mei 1961",15:00 uur,Union SG,0,1,Waterschei THOR
4008443,1961-1962,1,"zaterdag,za2 sep. 1961",19:30 uur,ARA Gent,2,2,Daring Club
4008444,1961-1962,1,"zondag,zo3 sep. 1961",15:00 uur,Standard Luik,1,1,Beerschot AC
4008445,1961-1962,1,"zondag,zo3 sep. 1961",15:00 uur,Lierse SK,2,3,Eendracht Aalst
4008446,1961-1962,1,"zondag,zo3 sep. 1961",15:00 uur,RSC Anderlecht,6,1,Waterschei THOR
4008447,1961-1962,1,"zondag,zo3 sep. 1961",15:00 uur,Antwerp FC,3,1,RFC Luik
4008448,1961-1962,1,"zondag,zo3 sep. 1961",15:00 uur,Cercle Brugge,3,1,KFC Diest
4008449,1961-1962,1,"zondag,zo3 sep. 1961",15:00 uur,Union SG,1,2,Club Brugge
4008450,1961-1962,1,"zondag,zo3 sep. 1961",15:00 uur,St-Truidense VV,3,0,Olymp. Charleroi
4008451,1961-1962,2,"zondag,zo10 sep. 1961",15:00 uur,Club Brugge,3,2,Standard Luik
4008452,1961-1962,2,"zondag,zo10 sep. 1961",15:00 uur,Eendracht Aalst,3,2,St-Truidense VV
4008453,1961-1962,2,"zondag,zo10 sep. 1961",15:00 uur,KFC Diest,0,3,RSC Anderlecht
