Stamnummer,Thuisploeg,Uitploeg
52,K. Lyra-Lierse Berlaar,K. Lyra-Lierse Berlaar
53,AS Oostende,AS Oostende
54,KSK Tongeren,KSK Tongeren
55,KCVV Elewijt,KCVV Elewijt
56,SC Toekomst Menen,SC Toekomst Menen
57,KAV Dendermonde,KAV Dendermonde
58,Boom FC,Boom FC
59,FC Hemiksem,FC Hemiksem
60,Spa FC,Spa FC
61,Association Saint-Gilloise,Association Saint-Gilloise
62,Anderlecht FC,Anderlecht FC
63,Dison Sport,Dison Sport
64,Tubantia Borgerhout,Tubantia Borgerhout
65,Hasseltse VV,Hasseltse VV
66,Scaldis SC,Scaldis SC
67,RFC Athois,RFC Athois
68,Oude God Sport,Oude God Sport
69,Gosselies Sports,Gosselies Sports
70,RUS Quiévrain,RUS Quiévrain
71,Patria FC Tongeren,Patria FC Tongeren
72,Daring Club Antoing,Daring Club Antoing
73,Tongersche SV Cercle,Tongersche SV Cercle
74,RFC Croatia Wandre,RFC Croatia Wandre
75,RCS Brainois,RCS Brainois
76,RFC Huy,RFC Huy
77,RRFC Montegnée,RRFC Montegnée
78,CS du crédit communial de Bruxelles,CS du crédit communial de Bruxelles
79,Royal Wavre Limal,Royal Wavre Limal
80,KSV Veurne,KSV Veurne
81,KSV Oudenaarde,KSV Oudenaarde
82,FC Herstal,FC Herstal
83,RCS Saint-Josse,RCS Saint-Josse
84,KRC Borgerhout,KRC Borgerhout
85,KVC Willebroek-Meerhof,KVC Willebroek-Meerhof
86,Fearless FC Ensival-Wegnez,Fearless FC Ensival-Wegnez
87,KSK Halle,KSK Halle
88,Koninklijk Sportverbond Antwerpens Handel (KSAH),Koninklijk Sportverbond Antwerpens Handel (KSAH)
89,Royale Union Hodimontoise FC,Royale Union Hodimontoise FC
90,SC Eendracht Aalst,SC Eendracht Aalst
91,Société Sportive Malmedy 1912,Société Sportive Malmedy 1912
92,FC Eupen 1920,FC Eupen 1920
93,RAA Louviéroise,RAA Louviéroise
94,RAAL La Louvière,RAAL La Louvière
95,RFC Wetteren,RFC Wetteren
96,KSV Antwerpen,KSV Antwerpen
97,KFC Herentals,KFC Herentals
98,US Silencieuse Liégeoise,US Silencieuse Liégeoise
99,RUS Fleurusienne,RUS Fleurusienne
100,KVK Westhoek,KVK Westhoek
101,Royal Knokke FC,Royal Knokke FC
102,RUS Lessines,RUS Lessines
103,Minerve FC,Minerve FC
104,Antwerpen,Antwerpen
105,Antwerpen,Antwerpen
106,Antwerpen,Antwerpen
107,Antwerpen,Antwerpen
108,La Jeunesse d'Eupen,La Jeunesse d'Eupen
109,Antwerpen,Antwerpen
110,KVK Torhout,KVK Torhout
111,Antwerpen,Antwerpen
112,Antwerpen,Antwerpen
113,Antwerpen,Antwerpen
114,Antwerpen,Antwerpen
115,Antwerpen,Antwerpen
116,Antwerpen,Antwerpen
117,Antwerpen,Antwerpen
118,Antwerpen,Antwerpen
119,Antwerpen,Antwerpen
120,RCS Hallois,RCS Hallois
121,Antwerpen,Antwerpen
122,Kortrijk,Kortrijk
123,Melda Maldegem,Melda Maldegem
124,Luik,Luik
125,Boechoutse VV,Boechoutse VV
126,RCS Stavelotain,RCS Stavelotain
127,Royale Entente Sambreville,Royale Entente Sambreville
128,Royal Étoile Sportive Dalhemoise,Royal Étoile Sportive Dalhemoise
129,Royal Leopold Club Hornu,Royal Leopold Club Hornu
130,Ougrée FC,Ougrée FC
131,KRC De Panne,KRC De Panne
132,KVK Tienen,KVK Tienen
133,RSC Templeuvois,RSC Templeuvois
134,KSV Roeselare,KSV Roeselare
135,Antwerpen,Antwerpen
136,Royale Union Jemappes-Flénu,Royale Union Jemappes-Flénu
